name,id,position,team,projection,fb_salary
Justin Thomas,MiIK7hSbu0NBdYcQyeRrXYckoMiR,WR,ATL,5.27,3700
Amba Etta-Tawo,Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,WR,BIR,5.13,3000
"Alton ""Pig"" Howard",MnFNOyNyHw3fXrcKp2lxuEu1-nwP,WR,MEM,5.1,3600
Marquis Bundy,MvMPK87RjthDpgkxi-5PMRJI56FG,WR,ARI,5.07,3200
Kenny Bell,MuShKYY0K9EeX6CMhI3AqqdV8t4e,WR,SL,5.02,3300
Chris Thompson,Mlkn1pQPSwR3LemN-XCL48ySzaYZ,WR,ORL,4.73,3200
Alonzo Moore,MuFzhKGMHfLzIjrXrapTwDVc1-nX,WR,SA,4.71,3500
Jordan Leslie,MnvL6-GbEKvM2KNii88YtoXpeeCF,WR,SL,4.26,3700
James Quick,MjqXp-M0egZj0qqf9VW--WdOhYOU,WR,ATL,3.58,3200
Gerrard Sheppard,Mpc5pPtq5oFQrAk8nDVXnbKV4P1D,WR,MEM,3.46,3300
Sam Mobley,MgL4D_RHJ9sR9_cgr7jc_wknKh73,WR,SL,3.03,3000
Montay Crockett,Mk5lf0dU6nBJfH5Gbsl59VPbwcyu,WR,ATL,2.82,3400
Ervin Philips,Mkzk3MIyF7JAQcd78N4W7Duh2SUq,WR,ATL,2.59,3000
DeVozea Felton,MsPpBdm_TA_D_k1EJ62-ovlO9mah,WR,BIR,2.54,3100
Laquvionte Gonzalez,Mvj-Md_UANIB0mUeSN6xIge4-xEg,WR,SD,2.12,3000
Donteea Dye Jr.,MrxsVJwCGFXBajsksqfAYwPZbFtK,WR,ORL,2.03,3100
Anthony Amos,MrSQS2wxF2mfqsspmu9k1xp0T5Ua,WR,ARI,1.53,3000
Jamal Robinson,Mmo4mbAD4Ss39YqyP4QDa78tOgyo,WR,BIR,1.26,4300
Ishmael Hyman,MlV-02inUXrsEEpYRJOewDTYBKEj,WR,ORL,1.08,3100
John Diarse,Mouig89pVdE03nmLvHe4S9gpJ01y,WR,SA,0.78,3000
Gavin Escobar,MpWMIkFb1L5PEgV4vYswWm1p0gEO,TE,SD,7.69,4100
"Wes Saxton, Jr.",MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,TE,BIR,7.5,4000
Marcus Baugh,MnSbN3NKTWGgbhSjjM2pzQ_20YJd,TE,SD,5.86,3400
Keith Towbridge,Mof0DIIcKBs9BlqLq7I1kGSR4pnx,TE,ATL,5.46,4400
Anthony Denham,MugplZamc2FccLEXfQhqTP78rMH0,TE,SL,5.44,3300
Nick Truesdell,MnZyXGX8iVvUgvjJtqLho4ON0yH6,TE,SL,5.29,5100
Evan Rodriguez,Mp30XHE6WaeCGjZAycOZ50NgWvu2,TE,SA,4.76,3300
Gerald Christian,MrC-mlcr-mSePbIBVLTOeXgH2s6b,TE,ARI,4.76,3200
Ben Johnson,Mnc8xISXCM-ArpeuLVABzhBG1xBr,TE,SD,2.9,3800
Scott Orndoff,Moi9AWTLwLF-WmHNRk8tzww8hRT8,TE,ORL,2.65,3900
Brandon Barnes,Mg89OyTmItplfDaiI18qnQn6A-Kr,TE,MEM,2.05,3100
Thomas Duarte,Mpz1d05mfi4t5VeyehpsANqewBsr,TE,ARI,2.03,3600
Cam Clear,MjpjYSya6_frsZ8aGk_iDyL66DDV,TE,SA,1.86,3700
Matt Weiser,Mljhybw7om52eXm6ZeD_ANOK77jn,TE,ORL,1.32,3200
Colin Thompson,Mg1HYIc4h7TNc18_eROYoQ_2IyJC,TE,BIR,1.28,3000
Stehly Reden,Mgb_UtvY7qtHpPKINg1QkU5ov9OJ,TE,SA,1.12,3200
Connor Hamlett,MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,TE,ARI,0.74,3000
Adrien Robinson,MmMr1PqQzXo0ZVHk39O2j4ktgFhu,TE,MEM,0.68,3000
Sean Price,MkiXHB9MYn5EIMB45S7Fibn3RG3M,TE,ORL,0.66,3400
Charles Standberry Jr.,Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,TE,ATL,0.51,3000
Weslye Saunders,MqGR0OsIc73esNR_54QUDDV-b4cW,TE,BIR,0.41,3000
Austin Traylor,MruASXlN9ksMnvFg3zcDg_6dISTx,TE,SL,0.32,3000
Tanner Balderree,MmIr6_Tggdgd2yO-XQnxLDtzVPS1,TE,SL,0.23,3000
