name,id,position,team,projection,fb_salary
John Wolford,MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,QB,ARI,19.17,5900
Garrett Gilbert,MqGd44MUMsf1cWf9eclgu5gZxo_b,QB,ORL,18.12,6800
Mike Bercovici,Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,QB,SD,17.63,6000
Logan Woodside,MiUKbbFISV5aL8sntaxSOLtUpPRE,QB,SA,15.15,5700
Luis Perez,Mm7AJ6Byhebu0DEBXteDAaFkzjWH,QB,BIR,14.9,5800
Josh Woodrum,Mg7ESCLcQeEi-Z0oZGFiwY2--zlS,QB,SL,14.88,5600
Aaron Murray,MrCulWiIV_vBdrkYTrojBDpun75X,QB,ATL,12.15,6300
Brandon Silvers,Mnkh1iQb4Y5isX532bIn6EImwKO-,QB,MEM,8.35,5400
Trent Richardson,MjiTEx33U92uj4oT_o0nS86vlwP9,RB,BIR,14.73,7800
Zac Stacy,MjQz3RHcgjyoXXVYFkrbYJBL3yvn,RB,MEM,13.64,6600
Joel Bouagnon,MoIfI6pzRT6PEupCPEz5uDPNSp9E,RB,SL,12.24,6200
D'Ernest Johnson,MgWqgIYh39TaLl2VCdS8tsfiVWxV,RB,ORL,12.04,5300
"Kenneth Farrow, II",MsQPaUeKdRzJSNKUmf9eYi6fhFDv,RB,SA,10.93,6000
Jhurell Pressley,Mqov-trF95R18wq3KsfAxd4YinmG,RB,ARI,10.84,5400
Tarean Folston,Mr5k7hAZFnvFAoDhfOnpMECSCZeC,RB,ATL,9.89,5600
De'Veon Smith,MrcbTGRfExX6jV5TIlzBA0U5Hj2E,RB,ORL,7.84,4800
Tim Cook,Mhbe28QXW-wYnR-q3KPOP8y4ydgD,RB,ARI,7.84,4300
Ja'Quan Gardner,Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,RB,SD,7.68,4700
Terrell Watson,MkpRgd5SNWd31jHiLxntSELkwYKP,RB,SD,7.46,4700
Brandon Radcliff,MpewpcPmXWw7dlR2o48Yu7NOKPbQ,RB,ATL,7.45,4900
Akeem Hunt,Muh23P6Whs1oYp8njPCCEt0psh-G,RB,ORL,6.94,3700
Trey Williams,Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,RB,SA,6.75,4200
Justin Stockton,Msab37KDSF5Dmhxdpo2luJzxkEiP,RB,ARI,5.28,3600
Terrence Magee,Mv5aLcnX86bjZaa2ms87A1SdYdZd,RB,MEM,5.21,3200
Ty Isaac,MsyVDBtdKsgCYjpATLWxD0sH7Blm,RB,BIR,3.59,3000
Terrell Newby,MhpQ_EdOOdPGE72Xu2X1U6pw4jKi,RB,SL,3.42,3200
Aaron Green,MsbPuETToV8YVFQPwTrERk9SgJlw,RB,SA,3.19,3000
Denard Robinson,Mg_WjBJbfsSmhgblX-ChTqgx2QNj,RB,ATL,2.99,3300
Bishop Sankey,MvqJnkN5sh8Byg8HsPF622BBTKGd,RB,SD,2.86,3500
Marshaun Coprich,MpF9nUlq2CazMaVnaXVN9Cxnes98,RB,BIR,2.73,3100
Terron Ward,MriNVkKuGd_7mZC31wwRWv2aZvyt,RB,SL,2.11,3100
Brandon Ross,MsWlWGFivq3_ThVsuPkEYl2t2gMZ,RB,BIR,1.69,3000
Daryl Virgies,MifcVNUPmkPBkNJNCxsnoFmIi0mj,RB,MEM,1.26,3000
Anthony Manzo-Lewis,MsSW7k2bvNdN0P0l5GxNqN339QSX,RB,MEM,0.63,3000
Rashad Ross,Mm7snAx05W5tu1iKEJZ1r5GxNG-z,WR,ARI,14.15,7100
Charles Johnson,Mvos-CiReB7Xgv_4M0LSY8WsAuH8,WR,ORL,13.92,7700
Mekale McKay,MpRddErY_E8R7jc9BtPv9XlGkorE,WR,SA,12.26,6400
Richard Mullaney,MkJMaeehojJ_G2FTn43DdskqOBtE,WR,ARI,10.88,4400
Jalin Marshall,MmdTzyAXr_06YKM9MvkpiX6Pysbd,WR,ORL,10.55,6100
De'Mornay Pierson-El,MhUElmUUm5ItoKzS_lLIuWNenhRM,WR,SL,9.23,5800
Quinton Patton,MvmOLxRYf5EpHnnw3KboJ64aj5U8,WR,BIR,9.13,5600
L'Damian Washington,MpyqEM1_gXIsD4IUZIqZWH4orGOo,WR,BIR,8.65,5700
Reece Horn,MhRTrUtStQOpZRmQASCkBgV0fhIJ,WR,MEM,8.46,5900
Nelson Spruce,MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,WR,SD,8.23,5400
"Greg Ward, Jr.",Mk4IH3V19RPzqhXq-wefiCcKGCg6,WR,SA,7.84,3800
Seantavius Jones,MgXuu1IplE-oQRh9H5EBHX0Uzs_J,WR,ATL,7.27,5500
Brian Brown,MjQdQplRusHyVzncTteLcd_4RdB4,WR,SD,7.27,4000
Francis Owusu,MluzUXObHhe2cAWPPHcb4G54tlKb,WR,SD,6.66,3600
Rannell Hall,MtrMUn2A9gmLtX-r9HO6AkYUy6XR,WR,ORL,6.41,4800
Malachi Jones,MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,WR,ATL,6.34,5200
De'Marcus Ayers,MuzB8aju0aGjhWzwt81_5-k3bWva,WR,SA,6.32,4000
Bug Howard,Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,WR,ATL,6.02,3300
Adonis Jennings,MnhMeRsiWw6LMqSeT11jQLPbC19v,WR,SL,5.91,4200
Freddie Martino,MrbAjODhVSr6W7hTaAmC8u0WN9pK,WR,ARI,5.79,4100
Tobias Palmer,Mumm8PK_wY3MZXSOMTik0hsIp6Ly,WR,BIR,5.51,3500
Brian Tyms,MhfUsZoRzun-PJwfaZuaJS10nFTd,WR,SL,5.39,3100
Devin Lucien,Mg8t9oQKqwdsKIyXSmqRSW_X70cM,WR,MEM,5.33,3800
