id,name,position,team,projection,fb_salary
MiIK7hSbu0NBdYcQyeRrXYckoMiR,Justin Thomas,WR,ATL,5.81,5300
MtrMUn2A9gmLtX-r9HO6AkYUy6XR,Rannell Hall,WR,ORL,6.38,3000
MqZf-3qxsCos4Y7zFSAGW72De8Qa,Josh Huff,WR,ARZ,6.17,5800
MvEvRFFI39o_zKhDxJObMb9OAJA5,Fabian Guerra,WR,MEM,5.64,5400
Mouig89pVdE03nmLvHe4S9gpJ01y,John Diarse,WR,SA,5.29,3400
Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,Bug Howard,WR,ATL,5.17,4700
MvMPK87RjthDpgkxi-5PMRJI56FG,Marquis Bundy,WR,ARZ,5.37,3000
MvRhbzA3GEwC-zxSrwZWFZV76v8-,Kayaune Ross,WR,MEM,6.59,3000
MuShKYY0K9EeX6CMhI3AqqdV8t4e,Kenny Bell,WR,SLC,6.32,4800
MgVmCgzjMvE-XO-J-zjrGbi-rCOd,Dres Anderson,WR,SLC,4.24,3300
MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,Nelson Spruce,WR,SD,3.4,3000
MrxsVJwCGFXBajsksqfAYwPZbFtK,Donteea Dye Jr.,WR,ORL,3.33,3100
MmswBWT__IFVOjgErBIPv-ypTyG7,Quan Bray,WR,BHM,3.91,3000
MgT56rsYAvlu70T8IUGLqULDIn4W,Josh Stewart,WR,SA,2.32,3700
MpZypZ4X4DO9uNQNzutAgaUT0XKI,Dontez Byrd,WR,MEM,2.33,3900
MrbAjODhVSr6W7hTaAmC8u0WN9pK,Freddie Martino,WR,ARZ,3.06,3700
MsPpBdm_TA_D_k1EJ62-ovlO9mah,DeVozea Felton,WR,BHM,2.14,5500
MoMrGcVxY9-wFwve2Zt5mI2-zP6U,Marvin Bracy-Williams Jr.,WR,ORL,0,3000
MpWMIkFb1L5PEgV4vYswWm1p0gEO,Gavin Escobar,TE,SD,11.31,4700
Mpe260WopCdu04wdxKraGyNjuaTT,Braedon Bowman,TE,BHM,9.02,3900
MugplZamc2FccLEXfQhqTP78rMH0,Anthony Denham,TE,SLC,8.39,4800
MnZyXGX8iVvUgvjJtqLho4ON0yH6,Nick Truesdell,TE,SLC,7.56,4200
MrC-mlcr-mSePbIBVLTOeXgH2s6b,Gerald Christian,TE,ARZ,7.82,4500
Mpz1d05mfi4t5VeyehpsANqewBsr,Thomas Duarte,TE,ARZ,6.81,4400
MnSbN3NKTWGgbhSjjM2pzQ_20YJd,Marcus Baugh,TE,SD,6.57,3000
Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,Charles Standberry Jr.,TE,ATL,6.29,3400
