name,id,position,team,projection,fb_salary
Garrett Gilbert,MqGd44MUMsf1cWf9eclgu5gZxo_b,QB,ORL,22.06,7100
Aaron Murray,MrCulWiIV_vBdrkYTrojBDpun75X,QB,ATL,18.5,6600
Josh Woodrum,Mg7ESCLcQeEi-Z0oZGFiwY2--zlS,QB,SL,17.83,5500
Zach Mettenberger,MjnRSiLQsYyZvE5hxod1B0h_Ignj,QB,MEM,15.44,5900
John Wolford,MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,QB,ARI,14.48,6000
Keith Price,MseOmwcB9ERo5Yb_5ejbYhmFxa5b,QB,BIR,14.23,5200
Logan Woodside,MiUKbbFISV5aL8sntaxSOLtUpPRE,QB,SA,13.71,5700
Mike Bercovici,Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,QB,SD,12.18,5300
Austin Allen,MuHSfKeQrOoI1ClJnN-FfEA8b7H-,QB,SL,0.46,5200
Alex Ross,MmvHKLCRyZq-N-Gt2TxaMx3PtX1B,QB,SD,0.23,5100
Luis Perez,Mm7AJ6Byhebu0DEBXteDAaFkzjWH,QB,BIR,0.21,5100
Austin Appleby,Mqnq5l339f1e7sM0Ypu4qHaoIBdh,QB,ORL,0.1,5000
"Kenneth Farrow, II",MsQPaUeKdRzJSNKUmf9eYi6fhFDv,RB,SA,13.34,6100
Trent Richardson,MjiTEx33U92uj4oT_o0nS86vlwP9,RB,BIR,12.65,7500
Joel Bouagnon,MoIfI6pzRT6PEupCPEz5uDPNSp9E,RB,SL,12.45,6400
Zac Stacy,MjQz3RHcgjyoXXVYFkrbYJBL3yvn,RB,MEM,12.4,6500
Tarean Folston,Mr5k7hAZFnvFAoDhfOnpMECSCZeC,RB,ATL,11.15,5800
D'Ernest Johnson,MgWqgIYh39TaLl2VCdS8tsfiVWxV,RB,ORL,10.35,5700
Jhurell Pressley,Mqov-trF95R18wq3KsfAxd4YinmG,RB,ARI,10.2,5300
De'Veon Smith,MrcbTGRfExX6jV5TIlzBA0U5Hj2E,RB,ORL,8.72,5500
Ja'Quan Gardner,Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,RB,SD,8.47,5000
Trey Williams,Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,RB,SA,7.21,4000
Brandon Radcliff,MpewpcPmXWw7dlR2o48Yu7NOKPbQ,RB,ATL,7.08,4500
Terrell Newby,MhpQ_EdOOdPGE72Xu2X1U6pw4jKi,RB,SL,6.99,3600
Akeem Hunt,Muh23P6Whs1oYp8njPCCEt0psh-G,RB,ORL,6.94,4600
Tim Cook,Mhbe28QXW-wYnR-q3KPOP8y4ydgD,RB,ARI,6.42,3400
Terrell Watson,MkpRgd5SNWd31jHiLxntSELkwYKP,RB,SD,5.97,4400
