name,id,position,team,projection,fb_salary
Aaron Green,MsbPuETToV8YVFQPwTrERk9SgJlw,RB,SA,5.16,3000
Terrence Magee,Mv5aLcnX86bjZaa2ms87A1SdYdZd,RB,MEM,4.83,3100
Justin Stockton,Msab37KDSF5Dmhxdpo2luJzxkEiP,RB,ARI,4.5,3300
Bishop Sankey,MvqJnkN5sh8Byg8HsPF622BBTKGd,RB,SD,4.49,4100
Denard Robinson,Mg_WjBJbfsSmhgblX-ChTqgx2QNj,RB,ATL,3.75,3100
Brandon Ross,MsWlWGFivq3_ThVsuPkEYl2t2gMZ,RB,BIR,3,3400
Marshaun Coprich,MpF9nUlq2CazMaVnaXVN9Cxnes98,RB,BIR,2.73,3000
Terron Ward,MriNVkKuGd_7mZC31wwRWv2aZvyt,RB,SL,1.64,3000
Terry Swanson,#N/A,RB,SL,1.34,
Daryl Virgies,#N/A,RB,MEM,1.26,
Anthony Manzo-Lewis,MsSW7k2bvNdN0P0l5GxNqN339QSX,RB,MEM,0.35,3000
Ryan Green,#N/A,RB,ORL,0,
Charles Johnson,Mvos-CiReB7Xgv_4M0LSY8WsAuH8,WR,ORL,17.17,8000
Rashad Ross,Mm7snAx05W5tu1iKEJZ1r5GxNG-z,WR,ARI,14.2,7600
De'Mornay Pierson-El,MhUElmUUm5ItoKzS_lLIuWNenhRM,WR,SL,12.9,6000
Jalin Marshall,MmdTzyAXr_06YKM9MvkpiX6Pysbd,WR,ORL,12.29,5400
Mekale McKay,MpRddErY_E8R7jc9BtPv9XlGkorE,WR,SA,11.03,5800
Dontez Ford,Ms7obZS7dFXxIdQMVfg1WsQJeF3y,WR,SD,10.56,6300
Quinton Patton,MvmOLxRYf5EpHnnw3KboJ64aj5U8,WR,BIR,9.94,5300
Nelson Spruce,MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,WR,SD,9.78,5600
Reece Horn,MhRTrUtStQOpZRmQASCkBgV0fhIJ,WR,MEM,8.6,5000
Rannell Hall,MtrMUn2A9gmLtX-r9HO6AkYUy6XR,WR,ORL,8.42,4700
Seantavius Jones,MgXuu1IplE-oQRh9H5EBHX0Uzs_J,WR,ATL,8.19,5200
Brian Brown,MjQdQplRusHyVzncTteLcd_4RdB4,WR,SD,7.89,4800
Kenny Bell,MuShKYY0K9EeX6CMhI3AqqdV8t4e,WR,SL,7.76,4200
"Greg Ward, Jr.",Mk4IH3V19RPzqhXq-wefiCcKGCg6,WR,SA,7.74,4300
Bug Howard,Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,WR,ATL,7.61,3600
Richard Mullaney,MkJMaeehojJ_G2FTn43DdskqOBtE,WR,ARI,7.42,3000
Devin Lucien,Mg8t9oQKqwdsKIyXSmqRSW_X70cM,WR,MEM,6.93,3800
Brian Tyms,MhfUsZoRzun-PJwfaZuaJS10nFTd,WR,SL,6.9,4100
Malachi Jones,MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,WR,ATL,6.8,5500
Amba Etta-Tawo,Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,WR,BIR,6.76,3000
"Alton ""Pig"" Howard",MnFNOyNyHw3fXrcKp2lxuEu1-nwP,WR,MEM,6.46,4100
De'Marcus Ayers,MuzB8aju0aGjhWzwt81_5-k3bWva,WR,SA,5.99,4600
Adonis Jennings,MnhMeRsiWw6LMqSeT11jQLPbC19v,WR,SL,5.57,3700
Justin Thomas,MiIK7hSbu0NBdYcQyeRrXYckoMiR,WR,ATL,5.4,3000
Freddie Martino,MrbAjODhVSr6W7hTaAmC8u0WN9pK,WR,ARI,5.36,3900
Marquis Bundy,MvMPK87RjthDpgkxi-5PMRJI56FG,WR,ARI,5.24,4400
James Quick,MjqXp-M0egZj0qqf9VW--WdOhYOU,WR,ATL,5.15,3200
Alonzo Moore,MuFzhKGMHfLzIjrXrapTwDVc1-nX,WR,SA,5.06,4500
Montay Crockett,Mk5lf0dU6nBJfH5Gbsl59VPbwcyu,WR,ATL,4.77,3500
Ervin Philips,Mkzk3MIyF7JAQcd78N4W7Duh2SUq,WR,ATL,4.66,3400
Gerrard Sheppard,Mpc5pPtq5oFQrAk8nDVXnbKV4P1D,WR,MEM,4.49,3500
Dontez Byrd,MpZypZ4X4DO9uNQNzutAgaUT0XKI,WR,MEM,4.37,3900
L'Damian Washington,MpyqEM1_gXIsD4IUZIqZWH4orGOo,WR,BIR,4.35,4000
DeVozea Felton,MsPpBdm_TA_D_k1EJ62-ovlO9mah,WR,BIR,4.07,3100
Chris Thompson,Mlkn1pQPSwR3LemN-XCL48ySzaYZ,WR,ORL,3.66,3100
Tobias Palmer,Mumm8PK_wY3MZXSOMTik0hsIp6Ly,WR,BIR,2.97,4200
Sam Mobley,MgL4D_RHJ9sR9_cgr7jc_wknKh73,WR,SL,2.65,3000
Josh Stewart,MgT56rsYAvlu70T8IUGLqULDIn4W,WR,SA,2.52,3100
Donteea Dye Jr.,MrxsVJwCGFXBajsksqfAYwPZbFtK,WR,ORL,2.22,3200
Ishmael Hyman,MlV-02inUXrsEEpYRJOewDTYBKEj,WR,ORL,2.03,3100
Anthony Amos,MrSQS2wxF2mfqsspmu9k1xp0T5Ua,WR,ARI,1.56,3000
Laquvionte Gonzalez,Mvj-Md_UANIB0mUeSN6xIge4-xEg,WR,SD,1.42,3400
Jamal Robinson,Mmo4mbAD4Ss39YqyP4QDa78tOgyo,WR,BIR,1.23,3000
Francis Owusu,MluzUXObHhe2cAWPPHcb4G54tlKb,WR,SD,1.13,3100
Gavin Escobar,MpWMIkFb1L5PEgV4vYswWm1p0gEO,TE,SD,8.22,4300
"Wes Saxton, Jr.",MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,TE,BIR,8.18,4200
Keith Towbridge,Mof0DIIcKBs9BlqLq7I1kGSR4pnx,TE,ATL,7.22,4000
Marcus Baugh,MnSbN3NKTWGgbhSjjM2pzQ_20YJd,TE,SD,6.56,4400
Anthony Denham,MugplZamc2FccLEXfQhqTP78rMH0,TE,SL,6.08,3300
Gerald Christian,MrC-mlcr-mSePbIBVLTOeXgH2s6b,TE,ARI,5.05,3200
Nick Truesdell,MnZyXGX8iVvUgvjJtqLho4ON0yH6,TE,SL,4.9,4700
Evan Rodriguez,Mp30XHE6WaeCGjZAycOZ50NgWvu2,TE,SA,3.4,3000
Scott Orndoff,Moi9AWTLwLF-WmHNRk8tzww8hRT8,TE,ORL,3.37,4500
Ben Johnson,Mnc8xISXCM-ArpeuLVABzhBG1xBr,TE,SD,2.93,3500
Thomas Duarte,Mpz1d05mfi4t5VeyehpsANqewBsr,TE,ARI,2.78,3600
Brandon Barnes,Mg89OyTmItplfDaiI18qnQn6A-Kr,TE,MEM,2.44,3100
Matt Weiser,Mljhybw7om52eXm6ZeD_ANOK77jn,TE,ORL,1.66,3000
Connor Hamlett,MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,TE,ARI,0.88,3000
Charles Standberry Jr.,Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,TE,ATL,0.88,3000
Stehly Reden,Mgb_UtvY7qtHpPKINg1QkU5ov9OJ,TE,SA,0.88,3200
Adrien Robinson,MmMr1PqQzXo0ZVHk39O2j4ktgFhu,TE,MEM,0.85,3000
Cam Clear,MjpjYSya6_frsZ8aGk_iDyL66DDV,TE,SA,0.83,3000
Cole Hunt,MvipIa5L9gbYdZQ29j_alrn4nZHC,TE,SA,0.48,3100
Sean Price,MkiXHB9MYn5EIMB45S7Fibn3RG3M,TE,ORL,0.45,3000
Austin Traylor,MruASXlN9ksMnvFg3zcDg_6dISTx,TE,SL,0.33,3000
Tanner Balderree,MmIr6_Tggdgd2yO-XQnxLDtzVPS1,TE,SL,0.3,3000
Weslye Saunders,MqGR0OsIc73esNR_54QUDDV-b4cW,TE,BIR,0.07,3000
Colin Thompson,Mg1HYIc4h7TNc18_eROYoQ_2IyJC,TE,BIR,0.06,3000
