id,name,position,team,projection,fb_salary
Mg7ESCLcQeEi-Z0oZGFiwY2--zlS,Josh Woodrum,QB,SL,7.36,5200
MgVmCgzjMvE-XO-J-zjrGbi-rCOd,Dres Anderson,WR,SL,1.88,3000
MvM6zxqfCqHooC6YhCoxuaHlBAMU,Trevor Knight,QB,ARI,1.19,5100
MvMPK87RjthDpgkxi-5PMRJI56FG,Marquis Bundy,WR,ARI,1.38,3000
MugplZamc2FccLEXfQhqTP78rMH0,Anthony Denham,TE,SL,6.11,4500
MuHSfKeQrOoI1ClJnN-FfEA8b7H-,Austin Allen,QB,SL,1.62,5400
MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,Connor Hamlett,TE,ARI,3.15,3400
MuShKYY0K9EeX6CMhI3AqqdV8t4e,Kenny Bell,WR,SL,4.55,3800
Msab37KDSF5Dmhxdpo2luJzxkEiP,Justin Stockton,RB,ARI,4.27,3300
MsSyIj8ll2VgHiA2jn2sa1vGnFgt,Branden Oliver,RB,SL,7.02,4500
MrbAjODhVSr6W7hTaAmC8u0WN9pK,Freddie Martino,WR,ARI,0.75,3000
MruASXlN9ksMnvFg3zcDg_6dISTx,Austin Traylor,TE,SL,1.34,3100
MqZf-3qxsCos4Y7zFSAGW72De8Qa,Josh Huff,WR,ARI,6.02,5800
Mqov-trF95R18wq3KsfAxd4YinmG,Jhurell Pressley,RB,ARI,10.53,5400
Mpz1d05mfi4t5VeyehpsANqewBsr,Thomas Duarte,TE,ARI,2.8,3200
