id,name,position,team,projection,fb_salary
MjQdQplRusHyVzncTteLcd_4RdB4,Brian Brown,WR,SD,9.18,5700
MiUKbbFISV5aL8sntaxSOLtUpPRE,Logan Woodside,QB,SA,13.68,6100
Moh0d_KMCFYTe2--2roPBqgiZqV_,Dustin Vaughan,QB,SA,1.44,5000
MkpRgd5SNWd31jHiLxntSELkwYKP,Terrell Watson,RB,SD,6.66,4700
MlZbM0ABiwcViZmr5VvEVRo-Ic5k,Paul James,RB,SD,0.82,3000
MluzUXObHhe2cAWPPHcb4G54tlKb,Francis Owusu,WR,SD,4.06,4300
Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,Mike Bercovici,QB,SD,0.01,5200
Ms7obZS7dFXxIdQMVfg1WsQJeF3y,Dontez Ford,WR,SD,4.46,5100
MpWMIkFb1L5PEgV4vYswWm1p0gEO,Gavin Escobar,TE,SD,7.52,4400
MpRddErY_E8R7jc9BtPv9XlGkorE,Mekale McKay,WR,SA,13.04,6200
Mm0slpmHcp2rAoyy_YujtIOMalki,Kameron Kelly,WR,SD,4.93,3500
MnSbN3NKTWGgbhSjjM2pzQ_20YJd,Marcus Baugh,TE,SD,3.93,3200
MmmuFoG-vnNtsk7UNiIQVAlP6iFp,Philip Nelson,QB,SD,6.32,5500
Mk4IH3V19RPzqhXq-wefiCcKGCg6,"Greg Ward, Jr.",WR,SA,8.97,5300
Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,Trey Williams,RB,SA,3.46,3600
MhyVle_UIu23yo8WANee4OUPncIR,David Cobb,RB,SA,5.12,3400
MgT56rsYAvlu70T8IUGLqULDIn4W,Josh Stewart,WR,SA,1.43,3500
MvipIa5L9gbYdZQ29j_alrn4nZHC,Cole Hunt,TE,SA,4.16,3000
MuzB8aju0aGjhWzwt81_5-k3bWva,De'Marcus Ayers,WR,SA,4.85,6000
MuFzhKGMHfLzIjrXrapTwDVc1-nX,Alonzo Moore,WR,SA,3.84,5000
MupH198whtLyGoCnan_zhuBONP-0,Marquise Williams,QB,SA,3.81,5200
MsbPuETToV8YVFQPwTrERk9SgJlw,Aaron Green,RB,SA,5.87,4100
MsQPaUeKdRzJSNKUmf9eYi6fhFDv,"Kenneth Farrow, II",RB,SA,8.99,6400
MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,Nelson Spruce,WR,SD,3.41,4800
Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,Ja'Quan Gardner,RB,SD,11.27,7000
Mp30XHE6WaeCGjZAycOZ50NgWvu2,Evan Rodriguez,TE,SA,6.28,4300
Mg_WjBJbfsSmhgblX-ChTqgx2QNj,Denard Robinson,RB,ATL,3.34,3700
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,Seantavius Jones,WR,ATL,10.43,6100
MiIK7hSbu0NBdYcQyeRrXYckoMiR,Justin Thomas,WR,ATL,2.91,4100
Mof0DIIcKBs9BlqLq7I1kGSR4pnx,Keith Towbridge,TE,ATL,2.28,3100
MjiTEx33U92uj4oT_o0nS86vlwP9,Trent Richardson,RB,BIR,15.78,7200
MmswBWT__IFVOjgErBIPv-ypTyG7,Quan Bray,WR,BIR,4.52,3000
MsPpBdm_TA_D_k1EJ62-ovlO9mah,DeVozea Felton,WR,BIR,2.41,4000
Mumm8PK_wY3MZXSOMTik0hsIp6Ly,Tobias Palmer,WR,BIR,4,3600
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,Luis Perez,QB,BIR,14.99,5700
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,Malachi Jones,WR,ATL,8.24,5900
MmbkMuW2p6t8_L4aprsO3viyTzyY,Lawrence Pittman,RB,ATL,3.34,3500
Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,Amba Etta-Tawo,WR,BIR,4.33,3000
Mkzk3MIyF7JAQcd78N4W7Duh2SUq,Ervin Philips,WR,ATL,5.7,3000
Mk5lf0dU6nBJfH5Gbsl59VPbwcyu,Montay Crockett,WR,ATL,1.46,3700
Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,Charles Standberry Jr.,TE,ATL,3.16,3000
Mg5pmFv_IbDbejfUsLji-uwwKVUv,Ladarius Perkins,RB,BIR,4.45,3100
MhEdk0XQnfjfHbj3AB3JlgfakHH9,Connor Davis,TE,BIR,6.24,3600
MvmOLxRYf5EpHnnw3KboJ64aj5U8,Quinton Patton,WR,BIR,10.75,6300
MsyVDBtdKsgCYjpATLWxD0sH7Blm,Ty Isaac,RB,BIR,1.69,3000
Mr7oBK_kj71615Ehxf9STz61Vmk8,Akrum Wadley,RB,ATL,6.75,4300
Mr5k7hAZFnvFAoDhfOnpMECSCZeC,Tarean Folston,RB,ATL,4.94,3900
MrCulWiIV_vBdrkYTrojBDpun75X,Aaron Murray,QB,ATL,0.96,5100
MrheAoooRuZ0B2xqcIr7XnBLZDoW,Matt Simms,QB,ATL,8.16,5900
Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,Bug Howard,WR,ATL,0.25,3100
MqGR0OsIc73esNR_54QUDDV-b4cW,Weslye Saunders,TE,BIR,3.08,3700
MpyqEM1_gXIsD4IUZIqZWH4orGOo,L'Damian Washington,WR,BIR,4.42,4600
MmdTzyAXr_06YKM9MvkpiX6Pysbd,Jalin Marshall,WR,ORL,12.8,6500
Mnkh1iQb4Y5isX532bIn6EImwKO-,Brandon Silvers,QB,MEM,0.76,5000
MlV-02inUXrsEEpYRJOewDTYBKEj,Ishmael Hyman,WR,ORL,2.9,3000
MpZypZ4X4DO9uNQNzutAgaUT0XKI,Dontez Byrd,WR,MEM,3.96,3100
MpcFBQh6-Fg1SlkG43E2ZJu4F13w,Rajion Neal,RB,MEM,4.02,3000
Moi9AWTLwLF-WmHNRk8tzww8hRT8,Scott Orndoff,TE,ORL,3.11,3100
MnFNOyNyHw3fXrcKp2lxuEu1-nwP,"Alton ""Pig"" Howard",WR,MEM,6.1,5600
MmMr1PqQzXo0ZVHk39O2j4ktgFhu,Adrien Robinson,TE,MEM,2.14,3100
Mlkn1pQPSwR3LemN-XCL48ySzaYZ,Chris Thompson,WR,ORL,3.36,4700
Mljhybw7om52eXm6ZeD_ANOK77jn,Matt Weiser,TE,ORL,2.02,3000
MkiXHB9MYn5EIMB45S7Fibn3RG3M,Sean Price,TE,ORL,3.15,3100
MjQz3RHcgjyoXXVYFkrbYJBL3yvn,Zac Stacy,RB,MEM,8,7100
Mv5aLcnX86bjZaa2ms87A1SdYdZd,Terrence Magee,RB,MEM,4.87,3200
Mg89OyTmItplfDaiI18qnQn6A-Kr,Brandon Barnes,TE,MEM,3.19,3200
MgWqgIYh39TaLl2VCdS8tsfiVWxV,D'Ernest Johnson,RB,ORL,6.16,4800
MhRTrUtStQOpZRmQASCkBgV0fhIJ,Reece Horn,WR,MEM,9.37,5500
MvRhbzA3GEwC-zxSrwZWFZV76v8-,Kayaune Ross,WR,MEM,5.5,3300
MvEvRFFI39o_zKhDxJObMb9OAJA5,Fabian Guerra,WR,MEM,2.55,3200
Mvos-CiReB7Xgv_4M0LSY8WsAuH8,Charles Johnson,WR,ORL,13.38,7400
Muh23P6Whs1oYp8njPCCEt0psh-G,Akeem Hunt,RB,ORL,6.62,5300
MtrMUn2A9gmLtX-r9HO6AkYUy6XR,Rannell Hall,WR,ORL,5.33,4300
MslD5In5tqTq-Wa_R1hyVprcNKb6,Christian Hackenberg,QB,MEM,8.78,5300
MsSW7k2bvNdN0P0l5GxNqN339QSX,Anthony Manzo-Lewis,RB,MEM,3.97,3000
MrcbTGRfExX6jV5TIlzBA0U5Hj2E,De'Veon Smith,RB,ORL,7.86,4000
MqGd44MUMsf1cWf9eclgu5gZxo_b,Garrett Gilbert,QB,ORL,23.52,7300
MgiboeFU3bSFzK6KxPa-Xr10FHAw,Larry Rose III,RB,ARI,0.36,3300
Mhbe28QXW-wYnR-q3KPOP8y4ydgD,Tim Cook,RB,ARI,5.08,4400
MgL4D_RHJ9sR9_cgr7jc_wknKh73,Sam Mobley,WR,SL,1.08,3200
MhUElmUUm5ItoKzS_lLIuWNenhRM,De'Mornay Pierson-El,WR,SL,7.23,4500
MkJMaeehojJ_G2FTn43DdskqOBtE,Richard Mullaney,WR,ARI,9.67,4400
MrC-mlcr-mSePbIBVLTOeXgH2s6b,Gerald Christian,TE,ARI,6.49,3500
MoIfI6pzRT6PEupCPEz5uDPNSp9E,Joel Bouagnon,RB,SL,6.55,5500
Mop_drX-yj7HIefEAlUHoDVCH_iA,Matt Asiata,RB,SL,3.34,3000
MnvL6-GbEKvM2KNii88YtoXpeeCF,Jordan Leslie,WR,SL,6.4,4100
MnhMeRsiWw6LMqSeT11jQLPbC19v,Adonis Jennings,WR,SL,7.86,3900
MnZyXGX8iVvUgvjJtqLho4ON0yH6,Nick Truesdell,TE,SL,4.45,3300
Mm7snAx05W5tu1iKEJZ1r5GxNG-z,Rashad Ross,WR,ARI,12.96,6900
MmIr6_Tggdgd2yO-XQnxLDtzVPS1,Tanner Balderree,TE,SL,0.37,3000
MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,John Wolford,QB,ARI,22.51,6800
MhpQ_EdOOdPGE72Xu2X1U6pw4jKi,Terrell Newby,RB,SL,2.11,3000
