name,id,position,team,projection,fb_salary
Josh Woodrum,Mg7ESCLcQeEi-Z0oZGFiwY2--zlS,QB,Salt Lake,24.3,5700
John Wolford,MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,QB,Arizona,22.3,5800
Trent Richardson,MjiTEx33U92uj4oT_o0nS86vlwP9,RB,Birmingham,22.3,8000
Garrett Gilbert,MqGd44MUMsf1cWf9eclgu5gZxo_b,QB,Orlando,21.5,6700
Mike Bercovici,Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,QB,San Diego,20.8,5900
Logan Woodside,MiUKbbFISV5aL8sntaxSOLtUpPRE,QB,San Antonio,18.4,5500
Luis Perez,Mm7AJ6Byhebu0DEBXteDAaFkzjWH,QB,Birmingham,16.7,6000
De'Mornay Pierson-El,MhUElmUUm5ItoKzS_lLIuWNenhRM,WR,Salt Lake,14.5,6100
Rashad Ross,Mm7snAx05W5tu1iKEJZ1r5GxNG-z,WR,Arizona,14.3,6900
D'Ernest Johnson,MgWqgIYh39TaLl2VCdS8tsfiVWxV,RB,Orlando,13.7,4700
Brandon Silvers,Mnkh1iQb4Y5isX532bIn6EImwKO-,QB,Memphis,13.4,5600
Charles Johnson,Mvos-CiReB7Xgv_4M0LSY8WsAuH8,WR,Orlando,12.9,7600
De'Veon Smith,MrcbTGRfExX6jV5TIlzBA0U5Hj2E,RB,Orlando,12.5,5300
Reece Horn,MhRTrUtStQOpZRmQASCkBgV0fhIJ,WR,Memphis,12.3,6500
Mekale McKay,MpRddErY_E8R7jc9BtPv9XlGkorE,WR,San Antonio,12.2,6300
Aaron Murray,MrCulWiIV_vBdrkYTrojBDpun75X,QB,Atlanta,11.6,6200
Nick Truesdell,MnZyXGX8iVvUgvjJtqLho4ON0yH6,TE,Salt Lake,10.8,5200
Nelson Spruce,MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,WR,San Diego,10.2,6200
Terrell Watson,MkpRgd5SNWd31jHiLxntSELkwYKP,RB,San Diego,9.8,5000
Daniel Williams,Mg_iWUx6iDiql9d09kaUxijp2Qvy,WR,Memphis,9.8,5600
Quinton Patton,MvmOLxRYf5EpHnnw3KboJ64aj5U8,WR,Birmingham,8.9,5500
Tarean Folston,Mr5k7hAZFnvFAoDhfOnpMECSCZeC,RB,Atlanta,8.4,5200
"Kenneth Farrow, II",MsQPaUeKdRzJSNKUmf9eYi6fhFDv,RB,San Antonio,8.2,6100
Malachi Jones,MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,WR,Atlanta,8.2,5900
Jhurell Pressley,Mqov-trF95R18wq3KsfAxd4YinmG,RB,Arizona,7.8,6000
Zac Stacy,MjQz3RHcgjyoXXVYFkrbYJBL3yvn,RB,Memphis,7.8,6700
Adonis Jennings,MnhMeRsiWw6LMqSeT11jQLPbC19v,WR,Salt Lake,7.7,3900
Joel Bouagnon,MoIfI6pzRT6PEupCPEz5uDPNSp9E,RB,Salt Lake,7.6,5500
Richard Mullaney,MkJMaeehojJ_G2FTn43DdskqOBtE,WR,Arizona,7.6,4500
