name,id,position,team,projection,fb_salary
Seantavius Jones,MgXuu1IplE-oQRh9H5EBHX0Uzs_J,WR,Atlanta,7.1,4800
Francis Owusu,MluzUXObHhe2cAWPPHcb4G54tlKb,WR,San Diego,6.9,3700
Amba Etta-Tawo,Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,WR,Birmingham,6.7,4100
Brandon Radcliff,MpewpcPmXWw7dlR2o48Yu7NOKPbQ,RB,Atlanta,6.6,4600
Akeem Hunt,Muh23P6Whs1oYp8njPCCEt0psh-G,RB,Orlando,6.6,4400
Thomas Duarte,Mpz1d05mfi4t5VeyehpsANqewBsr,TE,Arizona,6.5,4100
"Alton ""Pig"" Howard",MnFNOyNyHw3fXrcKp2lxuEu1-nwP,WR,Memphis,6.4,5600
Jalin Marshall,MmdTzyAXr_06YKM9MvkpiX6Pysbd,WR,Orlando,6.3,5800
Marquis Bundy,MvMPK87RjthDpgkxi-5PMRJI56FG,WR,Arizona,6.2,3700
Brian Brown,MjQdQplRusHyVzncTteLcd_4RdB4,WR,San Diego,6.1,3800
Evan Rodriguez,Mp30XHE6WaeCGjZAycOZ50NgWvu2,TE,San Antonio,6.1,4300
Scott Orndoff,Moi9AWTLwLF-WmHNRk8tzww8hRT8,TE,Orlando,5.9,3700
Marcus Baugh,MnSbN3NKTWGgbhSjjM2pzQ_20YJd,TE,San Diego,5.9,3600
"Wes Saxton, Jr. ",MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,TE,Birmingham,5.8,4400
Tim Cook,Mhbe28QXW-wYnR-q3KPOP8y4ydgD,RB,Arizona,5.7,4500
Bishop Sankey,MvqJnkN5sh8Byg8HsPF622BBTKGd,RB,San Diego,5.7,4900
Rannell Hall,MtrMUn2A9gmLtX-r9HO6AkYUy6XR,WR,Orlando,5.7,5000
Anthony Denham,MugplZamc2FccLEXfQhqTP78rMH0,TE,Salt Lake,5.7,3200
Ben Johnson,Mnc8xISXCM-ArpeuLVABzhBG1xBr,TE,San Diego,5.7,3300
Terrence Magee,Mv5aLcnX86bjZaa2ms87A1SdYdZd,RB,Memphis,5.5,3600
Trey Williams,Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,RB,San Antonio,5.4,4000
L'Damian Washington,MpyqEM1_gXIsD4IUZIqZWH4orGOo,WR,Birmingham,5.4,4700
Brian Tyms,MhfUsZoRzun-PJwfaZuaJS10nFTd,WR,Salt Lake,5.4,3400
Keith Towbridge,Mof0DIIcKBs9BlqLq7I1kGSR4pnx,TE,Atlanta,5.4,4200
De'Marcus Ayers,MuzB8aju0aGjhWzwt81_5-k3bWva,WR,San Antonio,5.1,3800
Bug Howard,Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,WR,Atlanta,4.9,3900
Terrell Newby,MhpQ_EdOOdPGE72Xu2X1U6pw4jKi,RB,Salt Lake,4.6,3900
Brandon Barnes,Mg89OyTmItplfDaiI18qnQn6A-Kr,TE,Memphis,4.3,3200
"Greg Ward, Jr.",Mk4IH3V19RPzqhXq-wefiCcKGCg6,WR,San Antonio,4.2,3200
Brandon Ross,MsWlWGFivq3_ThVsuPkEYl2t2gMZ,RB,Birmingham,3.6,3000
Gerald Christian,MrC-mlcr-mSePbIBVLTOeXgH2s6b,TE,Arizona,3.6,3400
Cam Clear,MjpjYSya6_frsZ8aGk_iDyL66DDV,TE,San Antonio,3.3,3500
Kenny Bell,MuShKYY0K9EeX6CMhI3AqqdV8t4e,WR,Salt Lake,3.2,3000
Marshaun Coprich,MpF9nUlq2CazMaVnaXVN9Cxnes98,RB,Birmingham,2.8,3100
Gavin Escobar,MpWMIkFb1L5PEgV4vYswWm1p0gEO,TE,San Diego,2.8,3800
Justin Stockton,Msab37KDSF5Dmhxdpo2luJzxkEiP,RB,Arizona,2.3,3500
