name,id,position,team,projection,fb_salary
Brian Tyms,MhfUsZoRzun-PJwfaZuaJS10nFTd,WR,SL,5.02,3700
Kenny Bell,MuShKYY0K9EeX6CMhI3AqqdV8t4e,WR,SL,4.9,4700
DeVozea Felton,MsPpBdm_TA_D_k1EJ62-ovlO9mah,WR,BIR,4.78,3500
Marquis Bundy,MvMPK87RjthDpgkxi-5PMRJI56FG,WR,ARI,4.52,4500
Freddie Martino,MrbAjODhVSr6W7hTaAmC8u0WN9pK,WR,ARI,4.22,3700
Adonis Jennings,MnhMeRsiWw6LMqSeT11jQLPbC19v,WR,SL,4.18,3800
Alonzo Moore,MuFzhKGMHfLzIjrXrapTwDVc1-nX,WR,SA,4.05,4100
Justin Thomas,MiIK7hSbu0NBdYcQyeRrXYckoMiR,WR,ATL,3.96,3300
Gerrard Sheppard,Mpc5pPtq5oFQrAk8nDVXnbKV4P1D,WR,MEM,3.18,4200
Chris Thompson,Mlkn1pQPSwR3LemN-XCL48ySzaYZ,WR,ORL,2.78,3400
Tobias Palmer,Mumm8PK_wY3MZXSOMTik0hsIp6Ly,WR,BIR,2.44,3100
Francis Owusu,MluzUXObHhe2cAWPPHcb4G54tlKb,WR,SD,2.06,3000
Josh Stewart,MgT56rsYAvlu70T8IUGLqULDIn4W,WR,SA,1.79,3300
Donteea Dye Jr.,MrxsVJwCGFXBajsksqfAYwPZbFtK,WR,ORL,1.28,3500
Laquvionte Gonzalez,Mvj-Md_UANIB0mUeSN6xIge4-xEg,WR,SD,1.26,3400
Gavin Escobar,MpWMIkFb1L5PEgV4vYswWm1p0gEO,TE,SD,6.16,4900
"Wes Saxton, Jr.",MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,TE,BIR,5.91,3900
Gerald Christian,MrC-mlcr-mSePbIBVLTOeXgH2s6b,TE,ARI,5.68,3300
Keith Towbridge,Mof0DIIcKBs9BlqLq7I1kGSR4pnx,TE,ATL,4.81,3700
Evan Rodriguez,Mp30XHE6WaeCGjZAycOZ50NgWvu2,TE,SA,4.78,3300
Marcus Baugh,MnSbN3NKTWGgbhSjjM2pzQ_20YJd,TE,SD,4.48,4500
Anthony Denham,MugplZamc2FccLEXfQhqTP78rMH0,TE,SL,4.3,3000
Brandon Barnes,Mg89OyTmItplfDaiI18qnQn6A-Kr,TE,MEM,3.69,4000
Nick Truesdell,MnZyXGX8iVvUgvjJtqLho4ON0yH6,TE,SL,3.48,3200
Thomas Duarte,Mpz1d05mfi4t5VeyehpsANqewBsr,TE,ARI,3.3,3200
Scott Orndoff,Moi9AWTLwLF-WmHNRk8tzww8hRT8,TE,ORL,2.94,3800
Ben Johnson,Mnc8xISXCM-ArpeuLVABzhBG1xBr,TE,SD,2.74,3400
Charles Standberry Jr.,Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,TE,ATL,2.18,3000
Matt Weiser,Mljhybw7om52eXm6ZeD_ANOK77jn,TE,ORL,2.17,3000
Cam Clear,MjpjYSya6_frsZ8aGk_iDyL66DDV,TE,SA,2.1,3100
Adrien Robinson,MmMr1PqQzXo0ZVHk39O2j4ktgFhu,TE,MEM,1.9,3100
Connor Hamlett,MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,TE,ARI,1.89,3000
Weslye Saunders,MqGR0OsIc73esNR_54QUDDV-b4cW,TE,BIR,1.69,3100
Sean Price,MkiXHB9MYn5EIMB45S7Fibn3RG3M,TE,ORL,1.41,3000
