id,name,team,opponent,event_start,position,salary
Mso-Sk88_bEryhmiW_TmsarMRb5M,Greg Ducre,SD,BIR,20:00 2019-03-17,RB,3000
MhU-3EcWuyvIJl2XIcCZ67zFaEwY,Kalais Robinson,BIR,SD,20:00 2019-03-17,TE,3000
MjQdQplRusHyVzncTteLcd_4RdB4,Brian Brown,SD,BIR,20:00 2019-03-17,WR,4800
MhCa7JbTmkeS_XZiwQNVy6GSLB-j,Aaron Peck,SD,BIR,20:00 2019-03-17,TE,3000
MjiTEx33U92uj4oT_o0nS86vlwP9,Trent Richardson,BIR,SD,20:00 2019-03-17,RB,7500
MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,"Wes Saxton, Jr. ",BIR,SD,20:00 2019-03-17,TE,4200
Mmo4mbAD4Ss39YqyP4QDa78tOgyo,Jamal Robinson,BIR,SD,20:00 2019-03-17,WR,3000
MsPpBdm_TA_D_k1EJ62-ovlO9mah,DeVozea Felton,BIR,SD,20:00 2019-03-17,WR,3100
MsWlWGFivq3_ThVsuPkEYl2t2gMZ,Brandon Ross,BIR,SD,20:00 2019-03-17,RB,3400
Mumm8PK_wY3MZXSOMTik0hsIp6Ly,Tobias Palmer,BIR,SD,20:00 2019-03-17,WR,4200
MkpRgd5SNWd31jHiLxntSELkwYKP,Terrell Watson,SD,BIR,20:00 2019-03-17,RB,4400
MluzUXObHhe2cAWPPHcb4G54tlKb,Francis Owusu,SD,BIR,20:00 2019-03-17,WR,3100
Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,Mike Bercovici,SD,BIR,20:00 2019-03-17,QB,5300
Ms7obZS7dFXxIdQMVfg1WsQJeF3y,Dontez Ford,SD,BIR,20:00 2019-03-17,WR,6300
MpyqEM1_gXIsD4IUZIqZWH4orGOo,L'Damian Washington,BIR,SD,20:00 2019-03-17,WR,4000
MpWMIkFb1L5PEgV4vYswWm1p0gEO,Gavin Escobar,SD,BIR,20:00 2019-03-17,TE,4300
MpF9nUlq2CazMaVnaXVN9Cxnes98,Marshaun Coprich,BIR,SD,20:00 2019-03-17,RB,3000
MpBhJ3CZ5O38V01ldy5ZOOR2aELp,Devon Cajuste,SD,BIR,20:00 2019-03-17,TE,3000
MoGqnWzwx3W0b0JDeLuMs4hRNaD4,Alek Torgersen,SD,BIR,20:00 2019-03-17,QB,5000
Mm0slpmHcp2rAoyy_YujtIOMalki,Kameron Kelly,SD,BIR,20:00 2019-03-17,WR,3000
Mnc8xISXCM-ArpeuLVABzhBG1xBr,Ben Johnson,SD,BIR,20:00 2019-03-17,TE,3500
MnSbN3NKTWGgbhSjjM2pzQ_20YJd,Marcus Baugh,SD,BIR,20:00 2019-03-17,TE,4400
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,Luis Perez,BIR,SD,20:00 2019-03-17,QB,5100
MmvHKLCRyZq-N-Gt2TxaMx3PtX1B,Alex Ross,SD,BIR,20:00 2019-03-17,QB,5100
Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,Amba Etta-Tawo,BIR,SD,20:00 2019-03-17,WR,3000
MkmAhau0FGwzGtqivpJVBbM_Rv34,Jahad Thomas,SD,BIR,20:00 2019-03-17,RB,3000
MkF5UPgoj0KxTC06w0oSTc74NNC8,Marcus McDade,BIR,SD,20:00 2019-03-17,QB,5000
Mg5pmFv_IbDbejfUsLji-uwwKVUv,Ladarius Perkins,BIR,SD,20:00 2019-03-17,RB,3500
MgScDthiAkbMTa0nRqP2xaxVF5BI,Kyle Lewis,SD,BIR,20:00 2019-03-17,WR,3000
MvqJnkN5sh8Byg8HsPF622BBTKGd,Bishop Sankey,SD,BIR,20:00 2019-03-17,RB,4100
MvmOLxRYf5EpHnnw3KboJ64aj5U8,Quinton Patton,BIR,SD,20:00 2019-03-17,WR,5300
Mvj-Md_UANIB0mUeSN6xIge4-xEg,Laquvionte Gonzalez,SD,BIR,20:00 2019-03-17,WR,3400
MsyVDBtdKsgCYjpATLWxD0sH7Blm,Ty Isaac,BIR,SD,20:00 2019-03-17,RB,3000
MuYoCSN_reGSvVl8Z35Cp34r5CNV,Jack Bramswig,BIR,SD,20:00 2019-03-17,WR,3000
MseOmwcB9ERo5Yb_5ejbYhmFxa5b,Keith Price,BIR,SD,20:00 2019-03-17,QB,5200
MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,Nelson Spruce,SD,BIR,20:00 2019-03-17,WR,5600
Mq1RStymgc8cFWxr8p8ySYfeWKpF,Lonnie Outlaw,BIR,SD,20:00 2019-03-17,WR,3000
Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,Ja'Quan Gardner,SD,BIR,20:00 2019-03-17,RB,5000
MqGR0OsIc73esNR_54QUDDV-b4cW,Weslye Saunders,BIR,SD,20:00 2019-03-17,TE,3000
MqG8mv-O0WxG7Ys9a-TXLeAlpKl4,Gary McKnight,SD,BIR,20:00 2019-03-17,WR,3000
Ml2aJyxkx7lwDR4azvYur9AdRB-0,Chris Wuestner,SD,BIR,20:00 2019-03-17,WR,3000
Mg1HYIc4h7TNc18_eROYoQ_2IyJC,Colin Thompson,BIR,SD,20:00 2019-03-17,TE,3000
Mg_WjBJbfsSmhgblX-ChTqgx2QNj,Denard Robinson,ATL,SA,16:00 2019-03-17,RB,3100
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,Seantavius Jones,ATL,SA,16:00 2019-03-17,WR,5200
MhWfGz0IuyCRkiX-EAi-eMNBCiyi,Brandon Shed,SA,ATL,16:00 2019-03-17,WR,3000
MiCHa8E_-TOZ6Vdzl2vPkpsBAsI2,Malik Earl,SA,ATL,16:00 2019-03-17,WR,3000
MiIK7hSbu0NBdYcQyeRrXYckoMiR,Justin Thomas,ATL,SA,16:00 2019-03-17,WR,3000
MiUKbbFISV5aL8sntaxSOLtUpPRE,Logan Woodside,SA,ATL,16:00 2019-03-17,QB,5700
MjpjYSya6_frsZ8aGk_iDyL66DDV,Cam Clear,SA,ATL,16:00 2019-03-17,TE,3000
MkSQkA0DlgEoiwU955Ir2v-_UhEF,Darius Prince,SA,ATL,16:00 2019-03-17,WR,3000
MknoSN9MGmBuZzYLHMocyN2vdMN3,James Clark,ATL,SA,16:00 2019-03-17,WR,3000
Mof0DIIcKBs9BlqLq7I1kGSR4pnx,Keith Towbridge,ATL,SA,16:00 2019-03-17,TE,4000
Moh0d_KMCFYTe2--2roPBqgiZqV_,Dustin Vaughan,SA,ATL,16:00 2019-03-17,QB,5000
MpewpcPmXWw7dlR2o48Yu7NOKPbQ,Brandon Radcliff,ATL,SA,16:00 2019-03-17,RB,4500
MpRddErY_E8R7jc9BtPv9XlGkorE,Mekale McKay,SA,ATL,16:00 2019-03-17,WR,5800
Mouig89pVdE03nmLvHe4S9gpJ01y,John Diarse,SA,ATL,16:00 2019-03-17,WR,3000
Mo5PJj3nJoBn8YPg5DKijJXdAfXS,Carl Whitley,SA,ATL,16:00 2019-03-17,WR,3000
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,Malachi Jones,ATL,SA,16:00 2019-03-17,WR,5500
MmbkMuW2p6t8_L4aprsO3viyTzyY,Lawrence Pittman,ATL,SA,16:00 2019-03-17,RB,3200
Mkzk3MIyF7JAQcd78N4W7Duh2SUq,Ervin Philips,ATL,SA,16:00 2019-03-17,WR,3400
MkpKbd9cizc4HjHP8RKBiKXmRtUz,Peter Pujals,ATL,SA,16:00 2019-03-17,QB,5000
Mk5lf0dU6nBJfH5Gbsl59VPbwcyu,Montay Crockett,ATL,SA,16:00 2019-03-17,WR,3500
Mk4IH3V19RPzqhXq-wefiCcKGCg6,"Greg Ward, Jr.",SA,ATL,16:00 2019-03-17,WR,4300
MkC7GxwD0CX0H67Q0a5BtAMszQc8,Dalton Sturm,SA,ATL,16:00 2019-03-17,QB,5000
Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,Charles Standberry Jr.,ATL,SA,16:00 2019-03-17,TE,3000
Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,Trey Williams,SA,ATL,16:00 2019-03-17,RB,4000
MhyVle_UIu23yo8WANee4OUPncIR,David Cobb,SA,ATL,16:00 2019-03-17,RB,3000
MhhKX-OyeMe8z_-2mAeojTPQur7g,Riley Smith,SA,ATL,16:00 2019-03-17,WR,3000
MgT56rsYAvlu70T8IUGLqULDIn4W,Josh Stewart,SA,ATL,16:00 2019-03-17,WR,3100
MgSBuTO_lMSM8QMHzELn3XamvjiG,Kyle Allen,SA,ATL,16:00 2019-03-17,QB,5000
MjqXp-M0egZj0qqf9VW--WdOhYOU,James Quick,ATL,SA,16:00 2019-03-17,WR,3200
Mgb_UtvY7qtHpPKINg1QkU5ov9OJ,Stehly Reden,SA,ATL,16:00 2019-03-17,TE,3200
MvipIa5L9gbYdZQ29j_alrn4nZHC,Cole Hunt,SA,ATL,16:00 2019-03-17,TE,3100
MuzB8aju0aGjhWzwt81_5-k3bWva,De'Marcus Ayers,SA,ATL,16:00 2019-03-17,WR,4600
MvWci2BzKuGbiHfQ_GdyMZb3AtJo,Daryl Richardson,SA,ATL,16:00 2019-03-17,RB,3000
Muu-O7tNx67WRO10jxjMo9sXHK3a,Speedy Noil,SA,ATL,16:00 2019-03-17,WR,3000
MuFzhKGMHfLzIjrXrapTwDVc1-nX,Alonzo Moore,SA,ATL,16:00 2019-03-17,WR,4500
MupH198whtLyGoCnan_zhuBONP-0,Marquise Williams,SA,ATL,16:00 2019-03-17,QB,5000
