id,name,team,opponent,event_start,position,salary
MgiboeFU3bSFzK6KxPa-Xr10FHAw,Larry Rose III,ARI,SA,20:00 2019-03-10,RB,3100
Mhbe28QXW-wYnR-q3KPOP8y4ydgD,Tim Cook,ARI,SA,20:00 2019-03-10,RB,3100
MiHUI6U2HGfaMX3s0w6-GEg1ERms,Joseph Fauria,ARI,SA,20:00 2019-03-10,TE,3000
MhWfGz0IuyCRkiX-EAi-eMNBCiyi,Brandon Shed,SA,ARI,20:00 2019-03-10,WR,3000
MiCHa8E_-TOZ6Vdzl2vPkpsBAsI2,Malik Earl,SA,ARI,20:00 2019-03-10,WR,3000
MiUKbbFISV5aL8sntaxSOLtUpPRE,Logan Woodside,SA,ARI,20:00 2019-03-10,QB,5500
MjpjYSya6_frsZ8aGk_iDyL66DDV,Cam Clear,SA,ARI,20:00 2019-03-10,TE,3100
MkSQkA0DlgEoiwU955Ir2v-_UhEF,Darius Prince,SA,ARI,20:00 2019-03-10,WR,3000
Moh0d_KMCFYTe2--2roPBqgiZqV_,Dustin Vaughan,SA,ARI,20:00 2019-03-10,QB,5000
MkJMaeehojJ_G2FTn43DdskqOBtE,Richard Mullaney,ARI,SA,20:00 2019-03-10,WR,3000
MrC-mlcr-mSePbIBVLTOeXgH2s6b,Gerald Christian,ARI,SA,20:00 2019-03-10,TE,3300
MrSQS2wxF2mfqsspmu9k1xp0T5Ua,Anthony Amos,ARI,SA,20:00 2019-03-10,WR,3000
MriNVkKuGd_7mZC31wwRWv2aZvyt,Terron Ward,ARI,SA,20:00 2019-03-10,RB,3000
MsVVZ3LC_heuEr4PWNhGVHQeCy2Z,Corey Willis,ARI,SA,20:00 2019-03-10,WR,3000
MpRddErY_E8R7jc9BtPv9XlGkorE,Mekale McKay,SA,ARI,20:00 2019-03-10,WR,5100
Mouig89pVdE03nmLvHe4S9gpJ01y,John Diarse,SA,ARI,20:00 2019-03-10,WR,3000
MpRU0C_0yu9AV3-irCNvEP4ik4Cu,Cobi Hamilton,ARI,SA,20:00 2019-03-10,WR,3000
Mo5PJj3nJoBn8YPg5DKijJXdAfXS,Carl Whitley,SA,ARI,20:00 2019-03-10,WR,3000
MoGqBldvEW-p3_ryF0QTr1kfy6r_,"Kenneth Walker, III",ARI,SA,20:00 2019-03-10,WR,3000
Mm7snAx05W5tu1iKEJZ1r5GxNG-z,Rashad Ross,ARI,SA,20:00 2019-03-10,WR,7400
Mm0riXVGYMOcU0-4HX2X9MACj5kz,Brandon Doughty,ARI,SA,20:00 2019-03-10,QB,5000
Mk4IH3V19RPzqhXq-wefiCcKGCg6,"Greg Ward, Jr.",SA,ARI,20:00 2019-03-10,WR,4800
MkC7GxwD0CX0H67Q0a5BtAMszQc8,Dalton Sturm,SA,ARI,20:00 2019-03-10,QB,5000
Mkd9QS5K8m9c-Y5kY-lcDXvRiPYP,Jevoni Robinson,SA,ARI,20:00 2019-03-10,TE,3000
MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,John Wolford,ARI,SA,20:00 2019-03-10,QB,6000
Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,Trey Williams,SA,ARI,20:00 2019-03-10,RB,4300
MhyVle_UIu23yo8WANee4OUPncIR,David Cobb,SA,ARI,20:00 2019-03-10,RB,3100
MhhKX-OyeMe8z_-2mAeojTPQur7g,Riley Smith,SA,ARI,20:00 2019-03-10,WR,3000
MgT56rsYAvlu70T8IUGLqULDIn4W,Josh Stewart,SA,ARI,20:00 2019-03-10,WR,3300
MgSBuTO_lMSM8QMHzELn3XamvjiG,Kyle Allen,SA,ARI,20:00 2019-03-10,QB,5000
Mgb_UtvY7qtHpPKINg1QkU5ov9OJ,Stehly Reden,SA,ARI,20:00 2019-03-10,TE,3000
MvipIa5L9gbYdZQ29j_alrn4nZHC,Cole Hunt,SA,ARI,20:00 2019-03-10,TE,3200
MvM6zxqfCqHooC6YhCoxuaHlBAMU,Trevor Knight,ARI,SA,20:00 2019-03-10,QB,5000
MvRJwCF7_74J3VsAWRubhjoJgHM5,Bryce Williams,ARI,SA,20:00 2019-03-10,TE,3000
MvMPK87RjthDpgkxi-5PMRJI56FG,Marquis Bundy,ARI,SA,20:00 2019-03-10,WR,4500
Mu3ahBJhqQJBfhINO9AsuKwQQjAu,Jaelen Strong,ARI,SA,20:00 2019-03-10,WR,3000
Mu0CsHf-olJEt5aQgvVNLyXY3QIx,Deion Holliman,ARI,SA,20:00 2019-03-10,WR,3000
MuzB8aju0aGjhWzwt81_5-k3bWva,De'Marcus Ayers,SA,ARI,20:00 2019-03-10,WR,4400
MvWci2BzKuGbiHfQ_GdyMZb3AtJo,Daryl Richardson,SA,ARI,20:00 2019-03-10,RB,3000
Muu-O7tNx67WRO10jxjMo9sXHK3a,Speedy Noil,SA,ARI,20:00 2019-03-10,WR,3000
MuFzhKGMHfLzIjrXrapTwDVc1-nX,Alonzo Moore,SA,ARI,20:00 2019-03-10,WR,4100
MupH198whtLyGoCnan_zhuBONP-0,Marquise Williams,SA,ARI,20:00 2019-03-10,QB,5000
MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,Connor Hamlett,ARI,SA,20:00 2019-03-10,TE,3000
MtH3-LPouTERsZVdNt76JXxktD7N,Jake Hubenak,SA,ARI,20:00 2019-03-10,QB,5000
MsbPuETToV8YVFQPwTrERk9SgJlw,Aaron Green,SA,ARI,20:00 2019-03-10,RB,3000
