id,name,team,opponent,event_start,position,salary
MhU-3EcWuyvIJl2XIcCZ67zFaEwY,Kalais Robinson,BIR,MEM,20:00 2019-03-24,TE,3000
MlYbA1bE5pTsO11ZvxV5Nn1xsrYI,Ryan Timmons,MEM,BIR,20:00 2019-03-24,WR,3000
Mnkh1iQb4Y5isX532bIn6EImwKO-,Brandon Silvers,MEM,BIR,20:00 2019-03-24,QB,5400
Mt4gflZxeBPVG4lzKOMS1mXCg5_l,Dillon Beard,MEM,BIR,20:00 2019-03-24,TE,3000
MjiTEx33U92uj4oT_o0nS86vlwP9,Trent Richardson,BIR,MEM,20:00 2019-03-24,RB,7800
MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,"Wes Saxton, Jr. ",BIR,MEM,20:00 2019-03-24,TE,4000
Mmo4mbAD4Ss39YqyP4QDa78tOgyo,Jamal Robinson,BIR,MEM,20:00 2019-03-24,WR,4300
MsPpBdm_TA_D_k1EJ62-ovlO9mah,DeVozea Felton,BIR,MEM,20:00 2019-03-24,WR,3100
MsWlWGFivq3_ThVsuPkEYl2t2gMZ,Brandon Ross,BIR,MEM,20:00 2019-03-24,RB,3000
Mumm8PK_wY3MZXSOMTik0hsIp6Ly,Tobias Palmer,BIR,MEM,20:00 2019-03-24,WR,3500
MifcVNUPmkPBkNJNCxsnoFmIi0mj,Daryl Virgies,MEM,BIR,20:00 2019-03-24,RB,3000
MpyqEM1_gXIsD4IUZIqZWH4orGOo,L'Damian Washington,BIR,MEM,20:00 2019-03-24,WR,5700
Mpc5pPtq5oFQrAk8nDVXnbKV4P1D,Gerrard Sheppard,MEM,BIR,20:00 2019-03-24,WR,3300
MpkM19wHcTzqtPuDQxIovjKHekxo,Brett Thompson,BIR,MEM,20:00 2019-03-24,TE,3000
MpZypZ4X4DO9uNQNzutAgaUT0XKI,Dontez Byrd,MEM,BIR,20:00 2019-03-24,WR,3900
MpF9nUlq2CazMaVnaXVN9Cxnes98,Marshaun Coprich,BIR,MEM,20:00 2019-03-24,RB,3100
Mn4R-c0RduILnqgZnvZjH3Jd8MVD,Chris Givens,MEM,BIR,20:00 2019-03-24,WR,3000
MnFNOyNyHw3fXrcKp2lxuEu1-nwP,"Alton ""Pig"" Howard",MEM,BIR,20:00 2019-03-24,WR,3600
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,Luis Perez,BIR,MEM,20:00 2019-03-24,QB,5800
MmdtBPUESCj6etrJlxQqHVJwRPKO,Kenny Hilliard,MEM,BIR,20:00 2019-03-24,RB,3000
MmMr1PqQzXo0ZVHk39O2j4ktgFhu,Adrien Robinson,MEM,BIR,20:00 2019-03-24,TE,3000
Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,Amba Etta-Tawo,BIR,MEM,20:00 2019-03-24,WR,3000
MkF5UPgoj0KxTC06w0oSTc74NNC8,Marcus McDade,BIR,MEM,20:00 2019-03-24,QB,5000
Mjwho2KhxUh6xpMCmX3U-V_km0UF,Damore'ea Stringfellow,MEM,BIR,20:00 2019-03-24,WR,3000
MjnRSiLQsYyZvE5hxod1B0h_Ignj,Zach Mettenberger,MEM,BIR,20:00 2019-03-24,QB,5500
MjQz3RHcgjyoXXVYFkrbYJBL3yvn,Zac Stacy,MEM,BIR,20:00 2019-03-24,RB,6600
MhrAJwyKga3UBoK-J_v307TucpTf,Troy Cook,MEM,BIR,20:00 2019-03-24,QB,5000
Mv5aLcnX86bjZaa2ms87A1SdYdZd,Terrence Magee,MEM,BIR,20:00 2019-03-24,RB,3200
Mg_iWUx6iDiql9d09kaUxijp2Qvy,Daniel Williams,MEM,BIR,20:00 2019-03-24,WR,4900
Mg89OyTmItplfDaiI18qnQn6A-Kr,Brandon Barnes,MEM,BIR,20:00 2019-03-24,TE,3100
Mg8t9oQKqwdsKIyXSmqRSW_X70cM,Devin Lucien,MEM,BIR,20:00 2019-03-24,WR,3800
MhRTrUtStQOpZRmQASCkBgV0fhIJ,Reece Horn,MEM,BIR,20:00 2019-03-24,WR,5900
MvmOLxRYf5EpHnnw3KboJ64aj5U8,Quinton Patton,BIR,MEM,20:00 2019-03-24,WR,5600
MvZ6gLtpamosPsiiexXMnTl1DlPa,Christian Briggs,MEM,BIR,20:00 2019-03-24,WR,3000
MvTT4xOoMN8rnyOaC30nCg5GEUA7,Larry Donnell,MEM,BIR,20:00 2019-03-24,TE,3000
Mul2mvkoQSqrfJpTvU04gOWesuV-,Cordon Moog,MEM,BIR,20:00 2019-03-24,RB,3000
Mt8qaE2AsIDmodlxS6QH8H-BvJsU,Ryan Mallet,MEM,BIR,20:00 2019-03-24,QB,5000
MuMIoRMMnHjBlagLQoZ8W-WP6E-w,Amir Carlisle,MEM,BIR,20:00 2019-03-24,WR,3000
MsyVDBtdKsgCYjpATLWxD0sH7Blm,Ty Isaac,BIR,MEM,20:00 2019-03-24,RB,3000
MslD5In5tqTq-Wa_R1hyVprcNKb6,Christian Hackenberg,MEM,BIR,20:00 2019-03-24,QB,5000
MuYoCSN_reGSvVl8Z35Cp34r5CNV,Jack Bramswig,BIR,MEM,20:00 2019-03-24,WR,3000
MtSJTnGpkivopNJBMTr_0CszuGay,Darryl Richardson,MEM,BIR,20:00 2019-03-24,TE,3000
MtF3S8heBWTIt-sqIhfmnCuWqGBm,Drew Morgan,MEM,BIR,20:00 2019-03-24,WR,3000
MseOmwcB9ERo5Yb_5ejbYhmFxa5b,Keith Price,BIR,MEM,20:00 2019-03-24,QB,5100
MsSW7k2bvNdN0P0l5GxNqN339QSX,Anthony Manzo-Lewis,MEM,BIR,20:00 2019-03-24,RB,3000
