id,name,team,opponent,event_start,position,salary
MjQdQplRusHyVzncTteLcd_4RdB4,Brian Brown,SD,ATL,20:00 2019-02-17,WR,3000
Mg_WjBJbfsSmhgblX-ChTqgx2QNj,Denard Robinson,ATL,SD,20:00 2019-02-17,RB,4200
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,Seantavius Jones,ATL,SD,20:00 2019-02-17,WR,6500
MhCa7JbTmkeS_XZiwQNVy6GSLB-j,Aaron Peck,SD,ATL,20:00 2019-02-17,TE,3000
MiIK7hSbu0NBdYcQyeRrXYckoMiR,Justin Thomas,ATL,SD,20:00 2019-02-17,WR,5300
MknoSN9MGmBuZzYLHMocyN2vdMN3,James Clark,ATL,SD,20:00 2019-02-17,WR,3000
MnrSf8JxresR48TO7cfWeGP_-rcC,Bronson Hill,ATL,SD,20:00 2019-02-17,RB,3000
Mof0DIIcKBs9BlqLq7I1kGSR4pnx,Keith Towbridge,ATL,SD,20:00 2019-02-17,TE,3000
MkpRgd5SNWd31jHiLxntSELkwYKP,Terrell Watson,SD,ATL,20:00 2019-02-17,RB,3000
MlZbM0ABiwcViZmr5VvEVRo-Ic5k,Paul James,SD,ATL,20:00 2019-02-17,RB,3000
MluzUXObHhe2cAWPPHcb4G54tlKb,Francis Owusu,SD,ATL,20:00 2019-02-17,WR,5900
Mlx6Z1X5i5Av-jLpFjMD0O5wHPBX,Mike Bercovici,SD,ATL,20:00 2019-02-17,QB,5900
Ms7obZS7dFXxIdQMVfg1WsQJeF3y,Dontez Ford,SD,ATL,20:00 2019-02-17,WR,5900
MpWMIkFb1L5PEgV4vYswWm1p0gEO,Gavin Escobar,SD,ATL,20:00 2019-02-17,TE,4700
MpLSJ46k-Ofo2ScV_SnFatgxLtQq,Justin Holman,ATL,SD,20:00 2019-02-17,QB,5000
MpBhJ3CZ5O38V01ldy5ZOOR2aELp,Devon Cajuste,SD,ATL,20:00 2019-02-17,TE,3000
Mm0slpmHcp2rAoyy_YujtIOMalki,Kameron Kelly,SD,ATL,20:00 2019-02-17,WR,3400
Mnc8xISXCM-ArpeuLVABzhBG1xBr,Ben Johnson,SD,ATL,20:00 2019-02-17,TE,3000
MnSbN3NKTWGgbhSjjM2pzQ_20YJd,Marcus Baugh,SD,ATL,20:00 2019-02-17,TE,3000
MmvHKLCRyZq-N-Gt2TxaMx3PtX1B,Alex Ross,SD,ATL,20:00 2019-02-17,QB,5000
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,Malachi Jones,ATL,SD,20:00 2019-02-17,WR,5700
MmbkMuW2p6t8_L4aprsO3viyTzyY,Lawrence Pittman,ATL,SD,20:00 2019-02-17,RB,3000
MmmuFoG-vnNtsk7UNiIQVAlP6iFp,Philip Nelson,SD,ATL,20:00 2019-02-17,QB,5200
MlVa3Jfxajga4CWX5BAlQz1ZB37o,Wayne Capers,SD,ATL,20:00 2019-02-17,WR,5600
Mkzk3MIyF7JAQcd78N4W7Duh2SUq,Ervin Philips,ATL,SD,20:00 2019-02-17,WR,3000
MkpKbd9cizc4HjHP8RKBiKXmRtUz,Peter Pujals,ATL,SD,20:00 2019-02-17,QB,5000
MkmAhau0FGwzGtqivpJVBbM_Rv34,Jahad Thomas,SD,ATL,20:00 2019-02-17,RB,3000
Mk5lf0dU6nBJfH5Gbsl59VPbwcyu,Montay Crockett,ATL,SD,20:00 2019-02-17,WR,3100
Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,Charles Standberry Jr.,ATL,SD,20:00 2019-02-17,TE,3400
MgScDthiAkbMTa0nRqP2xaxVF5BI,Kyle Lewis,SD,ATL,20:00 2019-02-17,WR,3000
MjqXp-M0egZj0qqf9VW--WdOhYOU,James Quick,ATL,SD,20:00 2019-02-17,WR,3000
MvqJnkN5sh8Byg8HsPF622BBTKGd,Bishop Sankey,SD,ATL,20:00 2019-02-17,RB,3000
Mvj-Md_UANIB0mUeSN6xIge4-xEg,Laquvionte Gonzalez,SD,ATL,20:00 2019-02-17,WR,3200
MvmXJXKw6X1sDtKBXVWEmd2Z0-kA,Shay Fields,SD,ATL,20:00 2019-02-17,WR,3000
MtxZDLCI9Z9AfrQcpOyEKUQ0QHgg,Austin Duke,ATL,SD,20:00 2019-02-17,WR,3000
Mr7oBK_kj71615Ehxf9STz61Vmk8,Akrum Wadley,ATL,SD,20:00 2019-02-17,RB,4400
Mr5k7hAZFnvFAoDhfOnpMECSCZeC,Tarean Folston,ATL,SD,20:00 2019-02-17,RB,5600
MrC4LfT3GwLOnCAWsvExRaRLyldW,Jake Sutherland,ATL,SD,20:00 2019-02-17,TE,3000
MrCulWiIV_vBdrkYTrojBDpun75X,Aaron Murray,ATL,SD,20:00 2019-02-17,QB,5400
MrshtMHFri_zur-OJxJEINLtw3FP,Isaiah Burse,SD,ATL,20:00 2019-02-17,WR,3000
MrheAoooRuZ0B2xqcIr7XnBLZDoW,Matt Simms,ATL,SD,20:00 2019-02-17,QB,5600
MtpaAkW1xD2OB6d8qJ8wyp5wSx5_,Nelson Spruce,SD,ATL,20:00 2019-02-17,WR,3000
Mtccg6qR_cXjZPWD-JqIMgEmOgXU,Stephen Hill,ATL,SD,20:00 2019-02-17,WR,3600
Mq-GmGW4EfGjMYsrlxSJKz4Rpa6d,Bug Howard,ATL,SD,20:00 2019-02-17,WR,4700
Mq5jqU-HbUqVHtCp9BI77nm6KnRB,Bernard Reedy,ATL,SD,20:00 2019-02-17,WR,3000
Mqz4RQPwnByj6JuzUIzmWhzhiSZw,Garrett Hudson,ATL,SD,20:00 2019-02-17,TE,3000
Mqs-U1gQrf9_eTiz3LS8GR68hjsZ,Ja'Quan Gardner,SD,ATL,20:00 2019-02-17,RB,5400
MqG8mv-O0WxG7Ys9a-TXLeAlpKl4,Gary McKnight,SD,ATL,20:00 2019-02-17,WR,3000
Mp3zvfSwOo1W0Pu37w7W0tEq-jEF,Deniko Carter,ATL,SD,20:00 2019-02-17,WR,3000
MmdTzyAXr_06YKM9MvkpiX6Pysbd,Jalin Marshall,ORL,SA,16:00 2019-02-17,WR,5200
MhWfGz0IuyCRkiX-EAi-eMNBCiyi,Brandon Shed,SA,ORL,16:00 2019-02-17,WR,3000
MiCHa8E_-TOZ6Vdzl2vPkpsBAsI2,Malik Earl,SA,ORL,16:00 2019-02-17,WR,3000
MiUKbbFISV5aL8sntaxSOLtUpPRE,Logan Woodside,SA,ORL,16:00 2019-02-17,QB,6100
MjpjYSya6_frsZ8aGk_iDyL66DDV,Cam Clear,SA,ORL,16:00 2019-02-17,TE,3000
MkSQkA0DlgEoiwU955Ir2v-_UhEF,Darius Prince,SA,ORL,16:00 2019-02-17,WR,3000
Moh0d_KMCFYTe2--2roPBqgiZqV_,Dustin Vaughan,SA,ORL,16:00 2019-02-17,QB,5000
Mkc9kzRcckURCNXUWL-BkPIv-4il,Frankie Hammond,ORL,SA,16:00 2019-02-17,WR,3000
MlV-02inUXrsEEpYRJOewDTYBKEj,Ishmael Hyman,ORL,SA,16:00 2019-02-17,WR,3500
Mmmqlsepsal_J3NtkYLJF8G3nqSq,Stephen Morris,ORL,SA,16:00 2019-02-17,QB,5000
MpRddErY_E8R7jc9BtPv9XlGkorE,Mekale McKay,SA,ORL,16:00 2019-02-17,WR,6800
Mouig89pVdE03nmLvHe4S9gpJ01y,John Diarse,SA,ORL,16:00 2019-02-17,WR,3400
Mo5PJj3nJoBn8YPg5DKijJXdAfXS,Carl Whitley,SA,ORL,16:00 2019-02-17,WR,3000
Moi9AWTLwLF-WmHNRk8tzww8hRT8,Scott Orndoff,ORL,SA,16:00 2019-02-17,TE,3000
MoeMfNlZEYBPr7ka0PjOdeR7HMP4,Freddie Stevenson,ORL,SA,16:00 2019-02-17,RB,3000
MoMrGcVxY9-wFwve2Zt5mI2-zP6U,Marvin Bracy-Williams Jr.,ORL,SA,16:00 2019-02-17,WR,3000
Mlkn1pQPSwR3LemN-XCL48ySzaYZ,Chris Thompson,ORL,SA,16:00 2019-02-17,WR,3600
Mljhybw7om52eXm6ZeD_ANOK77jn,Matt Weiser,ORL,SA,16:00 2019-02-17,TE,3000
MlcxcyvoaMkgMadxjz-PrXKAmhCJ,Ryan Green,ORL,SA,16:00 2019-02-17,RB,3300
Mk4IH3V19RPzqhXq-wefiCcKGCg6,"Greg Ward, Jr.",SA,ORL,16:00 2019-02-17,WR,5600
MkiXHB9MYn5EIMB45S7Fibn3RG3M,Sean Price,ORL,SA,16:00 2019-02-17,TE,3000
MvWci2BzKuGbiHfQ_GdyMZb3AtJo,Daryl Richardson,SA,ORL,16:00 2019-02-17,RB,3000
Mvos-CiReB7Xgv_4M0LSY8WsAuH8,Charles Johnson,ORL,SA,16:00 2019-02-17,WR,6000
Muu-O7tNx67WRO10jxjMo9sXHK3a,Speedy Noil,SA,ORL,16:00 2019-02-17,WR,3000
Muh23P6Whs1oYp8njPCCEt0psh-G,Akeem Hunt,ORL,SA,16:00 2019-02-17,RB,6400
MuFzhKGMHfLzIjrXrapTwDVc1-nX,Alonzo Moore,SA,ORL,16:00 2019-02-17,WR,5100
MtrMUn2A9gmLtX-r9HO6AkYUy6XR,Rannell Hall,ORL,SA,16:00 2019-02-17,WR,3000
MupH198whtLyGoCnan_zhuBONP-0,Marquise Williams,SA,ORL,16:00 2019-02-17,QB,5000
MuV61fWM6sA0uQR9zlLTFTE5KrTp,Willie Quinn,ORL,SA,16:00 2019-02-17,WR,3000
MtH3-LPouTERsZVdNt76JXxktD7N,Jake Hubenak,SA,ORL,16:00 2019-02-17,QB,5000
MsbPuETToV8YVFQPwTrERk9SgJlw,Aaron Green,SA,ORL,16:00 2019-02-17,RB,4900
MsQPaUeKdRzJSNKUmf9eYi6fhFDv,"Kenneth Farrow, II",SA,ORL,16:00 2019-02-17,RB,6000
MrkELcFs7bHoH31xKsU5oBinE-I7,Matt Sewall,ORL,SA,16:00 2019-02-17,WR,3000
MrcbTGRfExX6jV5TIlzBA0U5Hj2E,De'Veon Smith,ORL,SA,16:00 2019-02-17,RB,3400
