id,name,team,opponent,event_start,position,salary
MnW1pnxhq1tu9cMCejhSxbh5LHKQ,Samajie Grant,ARI,SA,20:00 2019-03-31,RB,3000
MgiboeFU3bSFzK6KxPa-Xr10FHAw,Larry Rose III,ARI,SA,20:00 2019-03-31,RB,3000
Mhbe28QXW-wYnR-q3KPOP8y4ydgD,Tim Cook,ARI,SA,20:00 2019-03-31,RB,4500
MiHUI6U2HGfaMX3s0w6-GEg1ERms,Joseph Fauria,ARI,SA,20:00 2019-03-31,TE,3000
MkSQkA0DlgEoiwU955Ir2v-_UhEF,Darius Prince,SA,ARI,20:00 2019-03-31,WR,3000
MhWfGz0IuyCRkiX-EAi-eMNBCiyi,Brandon Shed,SA,ARI,20:00 2019-03-31,WR,3000
MiCHa8E_-TOZ6Vdzl2vPkpsBAsI2,Malik Earl,SA,ARI,20:00 2019-03-31,WR,3000
MiUKbbFISV5aL8sntaxSOLtUpPRE,Logan Woodside,SA,ARI,20:00 2019-03-31,QB,5500
MjpjYSya6_frsZ8aGk_iDyL66DDV,Cam Clear,SA,ARI,20:00 2019-03-31,TE,3500
Moh0d_KMCFYTe2--2roPBqgiZqV_,Dustin Vaughan,SA,ARI,20:00 2019-03-31,QB,5000
MkJMaeehojJ_G2FTn43DdskqOBtE,Richard Mullaney,ARI,SA,20:00 2019-03-31,WR,4500
MrC-mlcr-mSePbIBVLTOeXgH2s6b,Gerald Christian,ARI,SA,20:00 2019-03-31,TE,3400
MrSQS2wxF2mfqsspmu9k1xp0T5Ua,Anthony Amos,ARI,SA,20:00 2019-03-31,WR,3000
MsVVZ3LC_heuEr4PWNhGVHQeCy2Z,Corey Willis,ARI,SA,20:00 2019-03-31,WR,3000
MpRddErY_E8R7jc9BtPv9XlGkorE,Mekale McKay,SA,ARI,20:00 2019-03-31,WR,6300
Mouig89pVdE03nmLvHe4S9gpJ01y,John Diarse,SA,ARI,20:00 2019-03-31,WR,3100
MpRU0C_0yu9AV3-irCNvEP4ik4Cu,Cobi Hamilton,ARI,SA,20:00 2019-03-31,WR,3000
Mo5PJj3nJoBn8YPg5DKijJXdAfXS,Carl Whitley,SA,ARI,20:00 2019-03-31,WR,3000
MoGqBldvEW-p3_ryF0QTr1kfy6r_,"Kenneth Walker, III",ARI,SA,20:00 2019-03-31,WR,3000
Mm7snAx05W5tu1iKEJZ1r5GxNG-z,Rashad Ross,ARI,SA,20:00 2019-03-31,WR,6900
Mm0riXVGYMOcU0-4HX2X9MACj5kz,Brandon Doughty,ARI,SA,20:00 2019-03-31,QB,5000
Mk4IH3V19RPzqhXq-wefiCcKGCg6,"Greg Ward, Jr.",SA,ARI,20:00 2019-03-31,WR,3200
MkC7GxwD0CX0H67Q0a5BtAMszQc8,Dalton Sturm,SA,ARI,20:00 2019-03-31,QB,5000
Mj3fRB3AVS12OCsIskMz_0PDffQy,Quinn McQueary,ARI,SA,20:00 2019-03-31,QB,5000
MkPvvbYvaVNNPxdSnPAYxFKkEa0Y,John Wolford,ARI,SA,20:00 2019-03-31,QB,5800
Mv1x5oSVJFjxcBN5MwJ58Fp7WOcf,Trey Williams,SA,ARI,20:00 2019-03-31,RB,4000
MhyVle_UIu23yo8WANee4OUPncIR,David Cobb,SA,ARI,20:00 2019-03-31,RB,3300
MgT56rsYAvlu70T8IUGLqULDIn4W,Josh Stewart,SA,ARI,20:00 2019-03-31,WR,3000
MgSBuTO_lMSM8QMHzELn3XamvjiG,Kyle Allen,SA,ARI,20:00 2019-03-31,QB,5000
Mgb_UtvY7qtHpPKINg1QkU5ov9OJ,Stehly Reden,SA,ARI,20:00 2019-03-31,TE,3200
MvipIa5L9gbYdZQ29j_alrn4nZHC,Cole Hunt,SA,ARI,20:00 2019-03-31,TE,3100
MvM6zxqfCqHooC6YhCoxuaHlBAMU,Trevor Knight,ARI,SA,20:00 2019-03-31,QB,5000
MvRJwCF7_74J3VsAWRubhjoJgHM5,Bryce Williams,ARI,SA,20:00 2019-03-31,TE,3000
MvMPK87RjthDpgkxi-5PMRJI56FG,Marquis Bundy,ARI,SA,20:00 2019-03-31,WR,3700
Mu3ahBJhqQJBfhINO9AsuKwQQjAu,Jaelen Strong,ARI,SA,20:00 2019-03-31,WR,3000
Mu0CsHf-olJEt5aQgvVNLyXY3QIx,Deion Holliman,ARI,SA,20:00 2019-03-31,WR,3400
MuzB8aju0aGjhWzwt81_5-k3bWva,De'Marcus Ayers,SA,ARI,20:00 2019-03-31,WR,3800
MvWci2BzKuGbiHfQ_GdyMZb3AtJo,Daryl Richardson,SA,ARI,20:00 2019-03-31,RB,3000
Muu-O7tNx67WRO10jxjMo9sXHK3a,Speedy Noil,SA,ARI,20:00 2019-03-31,WR,3000
MuFzhKGMHfLzIjrXrapTwDVc1-nX,Alonzo Moore,SA,ARI,20:00 2019-03-31,WR,3300
MupH198whtLyGoCnan_zhuBONP-0,Marquise Williams,SA,ARI,20:00 2019-03-31,QB,5200
Mt0Ys7B1YbqS9FIrnOpWzssu2FCJ,Eli Jenkins,ARI,SA,20:00 2019-03-31,QB,5000
MsuqKLUycZ4oZeSa_8mp-GpOy_Gd,Connor Hamlett,ARI,SA,20:00 2019-03-31,TE,3000
MtH3-LPouTERsZVdNt76JXxktD7N,Jake Hubenak,SA,ARI,20:00 2019-03-31,QB,5000
MsbPuETToV8YVFQPwTrERk9SgJlw,Aaron Green,SA,ARI,20:00 2019-03-31,RB,3400
Msab37KDSF5Dmhxdpo2luJzxkEiP,Justin Stockton,ARI,SA,20:00 2019-03-31,RB,3500
MsQPaUeKdRzJSNKUmf9eYi6fhFDv,"Kenneth Farrow, II",SA,ARI,20:00 2019-03-31,RB,6100
MrbAjODhVSr6W7hTaAmC8u0WN9pK,Freddie Martino,ARI,SA,20:00 2019-03-31,WR,4600
Mqov-trF95R18wq3KsfAxd4YinmG,Jhurell Pressley,ARI,SA,20:00 2019-03-31,RB,6000
Mq_R498PrH4WBG5Q138b6sQggVKp,Jack Heneghan,ARI,SA,20:00 2019-03-31,QB,5000
Mp30XHE6WaeCGjZAycOZ50NgWvu2,Evan Rodriguez,SA,ARI,20:00 2019-03-31,TE,4300
Mpz1d05mfi4t5VeyehpsANqewBsr,Thomas Duarte,ARI,SA,20:00 2019-03-31,TE,4100
MqCPKOT_ZV5JF4DiAFXApaaqOtlf,Cam  Serigne,ARI,SA,20:00 2019-03-31,TE,3000
MhU-3EcWuyvIJl2XIcCZ67zFaEwY,Kalais Robinson,BIR,ATL,16:00 2019-03-31,TE,3000
Mg_WjBJbfsSmhgblX-ChTqgx2QNj,Denard Robinson,ATL,BIR,16:00 2019-03-31,RB,3200
MgXuu1IplE-oQRh9H5EBHX0Uzs_J,Seantavius Jones,ATL,BIR,16:00 2019-03-31,WR,4800
MiIK7hSbu0NBdYcQyeRrXYckoMiR,Justin Thomas,ATL,BIR,16:00 2019-03-31,WR,3600
MknoSN9MGmBuZzYLHMocyN2vdMN3,James Clark,ATL,BIR,16:00 2019-03-31,WR,3000
Mof0DIIcKBs9BlqLq7I1kGSR4pnx,Keith Towbridge,ATL,BIR,16:00 2019-03-31,TE,4200
MjiTEx33U92uj4oT_o0nS86vlwP9,Trent Richardson,BIR,ATL,16:00 2019-03-31,RB,8000
MkXtS_Yu0mkc3BP5bNBQeSCOTJvC,"Wes Saxton, Jr. ",BIR,ATL,16:00 2019-03-31,TE,4400
Mmo4mbAD4Ss39YqyP4QDa78tOgyo,Jamal Robinson,BIR,ATL,16:00 2019-03-31,WR,4200
MsPpBdm_TA_D_k1EJ62-ovlO9mah,DeVozea Felton,BIR,ATL,16:00 2019-03-31,WR,3000
MsWlWGFivq3_ThVsuPkEYl2t2gMZ,Brandon Ross,BIR,ATL,16:00 2019-03-31,RB,3000
Mumm8PK_wY3MZXSOMTik0hsIp6Ly,Tobias Palmer,BIR,ATL,16:00 2019-03-31,WR,3200
MpewpcPmXWw7dlR2o48Yu7NOKPbQ,Brandon Radcliff,ATL,BIR,16:00 2019-03-31,RB,4600
MpyqEM1_gXIsD4IUZIqZWH4orGOo,L'Damian Washington,BIR,ATL,16:00 2019-03-31,WR,4700
Mpe260WopCdu04wdxKraGyNjuaTT,Braedon Bowman,BIR,ATL,16:00 2019-03-31,TE,3300
MpkM19wHcTzqtPuDQxIovjKHekxo,Brett Thompson,BIR,ATL,16:00 2019-03-31,TE,3000
MpF9nUlq2CazMaVnaXVN9Cxnes98,Marshaun Coprich,BIR,ATL,16:00 2019-03-31,RB,3100
Mm7AJ6Byhebu0DEBXteDAaFkzjWH,Luis Perez,BIR,ATL,16:00 2019-03-31,QB,6000
MmuNa1g5wLa6Qj-ndC8Iav3eT1xT,Malachi Jones,ATL,BIR,16:00 2019-03-31,WR,5900
MmbkMuW2p6t8_L4aprsO3viyTzyY,Lawrence Pittman,ATL,BIR,16:00 2019-03-31,RB,3000
Ml9cOZHecV3pc9mEGX4ZR4Y6ZkMB,Amba Etta-Tawo,BIR,ATL,16:00 2019-03-31,WR,4100
Mkzk3MIyF7JAQcd78N4W7Duh2SUq,Ervin Philips,ATL,BIR,16:00 2019-03-31,WR,3000
MkpKbd9cizc4HjHP8RKBiKXmRtUz,Peter Pujals,ATL,BIR,16:00 2019-03-31,QB,5000
Mk5lf0dU6nBJfH5Gbsl59VPbwcyu,Montay Crockett,ATL,BIR,16:00 2019-03-31,WR,3100
MkF5UPgoj0KxTC06w0oSTc74NNC8,Marcus McDade,BIR,ATL,16:00 2019-03-31,QB,5000
Mkd9QS5K8m9c-Y5kY-lcDXvRiPYP,Jevoni Robinson,ATL,BIR,16:00 2019-03-31,TE,3000
Mm2ZwVxSGkw3OqT1GyqzErHBxJeK,Charles Standberry Jr.,ATL,BIR,16:00 2019-03-31,TE,3000
MjqXp-M0egZj0qqf9VW--WdOhYOU,James Quick,ATL,BIR,16:00 2019-03-31,WR,3300
MvmOLxRYf5EpHnnw3KboJ64aj5U8,Quinton Patton,BIR,ATL,16:00 2019-03-31,WR,5500
MsyVDBtdKsgCYjpATLWxD0sH7Blm,Ty Isaac,BIR,ATL,16:00 2019-03-31,RB,3000
MuYoCSN_reGSvVl8Z35Cp34r5CNV,Jack Bramswig,BIR,ATL,16:00 2019-03-31,WR,3000
MseOmwcB9ERo5Yb_5ejbYhmFxa5b,Keith Price,BIR,ATL,16:00 2019-03-31,QB,5000
Mr5k7hAZFnvFAoDhfOnpMECSCZeC,Tarean Folston,ATL,BIR,16:00 2019-03-31,RB,5200
