conference,team,playoffs,final,champion
Eastern,Orlando Apollos,>99%,58%,35%
Eastern,Birmingham Iron,92%,39%,21%
Eastern,Atlanta Legends,7%,2%,<1%
Eastern,Memphis Express,1%,<1%,<1%
Western,San Antonio Commanders,86%,44%,19%
Western,San Diego Fleet,59%,29%,12%
Western,Arizona Hotshots,41%,20%,9%
Western,Salt Lake Stallions,14%,7%,3%
