name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,routes_ran,targets,catches,receiving_yards,receiving_tds,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,touch_percentage,games_played
Jhurell Pressley,ARI,75,343,4.6,1,1,205,53%,74,17,9,72,2,16,8,17,4,45,17,50%,6
Tim Cook,ARI,42,191,4.5,1,0,75,25%,11,3,2,11,1,9,8,6,5,10,5,21%,5
Justin Stockton,ARI,36,190,5.3,1,0,92,22%,22,4,4,26,0,10,1,3,0,20,6,31%,6
Akrum Wadley,ATL,7,21,3,0,0,46,40%,31,11,11,99,0,6,3,3,0,14,2,38%,2
Tarean Folston,ATL,38,169,4.4,1,0,131,40%,77,22,19,110,2,26,12,9,6,38,13,40%,5
Lawrence Pittman,ATL,19,81,4.3,0,0,43,17%,15,3,2,10,0,9,4,5,3,3,1,21%,4
Denard Robinson,ATL,21,61,2.6,1,0,99,29%,43,9,5,16,0,18,8,1,0,23,2,20%,5
Brandon Ratcliff,ATL,29,103,3.6,0,0,71,33%,32,10,8,43,0,12,5,2,1,8,4,40%,3
Trent Richardson,BIR,91,227,2.5,9,2,271,68%,147,39,26,186,1,37,25,25,17,52,16,70%,6
Marshaun Coprich,BIR,2,7,3.5,0,0,16,19%,14,3,3,18,0,0,0,0,0,3,1,15%,1
Ladarius Perkins,BIR,14,42,3,0,0,67,21%,47,16,14,66,0,7,4,1,0,22,8,20%,5
Brandon Ross,BIR,12,72,6,0,0,31,26%,17,2,2,32,1,2,0,0,0,6,1,28%,2
Ty Isaac,BIR,2,5,2.5,0,0,13,11%,8,4,3,13,0,0,0,1,0,3,2,9%,2
Zac Stacy,MEM,86,304,3.5,3,0,174,53%,57,17,13,101,1,23,18,12,7,37,10,60%,6
Terrence Magee,MEM,28,91,3.3,0,1,96,29%,31,6,6,36,1,14,7,8,4,29,5,20%,6
Sherman Badie,MEM,16,74,4.6,0,0,35,23%,14,4,3,87,0,1,1,1,0,9,1,22%,3
D’Ernest Johnson,ORL,52,294,5.7,1,0,147,41%,72,19,14,155,1,19,7,10,4,27,8,43%,6
De’Veon Smith,ORL,52,278,5.3,2,2,122,34%,44,7,3,18,0,16,12,10,4,28,14,36%,6
Akeem Hunt,ORL,24,125,5.2,1,0,81,27%,34,7,3,35,0,14,6,9,5,12,2,24%,5
Ryan Green,ORL ,3,17,5.7,0,0,8,13%,3,0,0,0,0,3,1,0,0,0,0,9%,1
Kenneth Farrow,SA,87,340,3.9,4,1,194,50%,64,8,7,67,0,48,26,24,13,49,14,53%,6
Aaron Green,SA,18,83,4.6,0,0,72,27%,35,8,6,43,0,10,2,3,0,12,4,22%,4
Trey Williams,SA,27,149,5.5,1,0,73,32%,30,7,5,29,0,15,7,5,1,15,6,30%,4
David Cobb,SA,20,60,3,0,0,48,17%,19,3,2,5,0,8,4,3,2,8,1,18%,4
Ja’Quan Gardner,SD,61,309,5.1,3,0,160,43%,44,14,12,107,0,8,4,1,1,18,7,51%,6
Terrell Watson,SD,53,227,4.3,1,3,165,44%,65,5,5,27,1,29,11,19,9,49,4,40%,6
Paul James,SD,1,0,0,0,0,22,19%,16,1,0,0,0,3,2,0,0,9,1,6%,2
Bishop Sankey,SD,7,23,3.3,0,0,21,17%,10,4,3,12,0,0,0,0,0,2,1,22%,2
Joel Bouagnon,SL,77,280,3.6,5,0,168,43%,10,7,4,18,0,33,18,15,11,37,16,46%,6
Branden Oliver,SL,54,210,3.9,1,1,109,45%,28,9,6,35,0,14,11,7,5,20,5,47%,4
Matt Asiata,SL,7,10,1.4,1,0,19,9%,8,3,0,0,0,6,4,4,2,5,1,11%,3
Terrell Newby,SL,15,35,2.3,0,2,74,23%,47,11,8,68,0,3,1,2,2,20,4,17%,5
Terron Ward,SL,3,24,8,0,0,4,6%,0,0,0,0,0,1,1,1,1,1,1,11%,1
