name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,routes_ran,targets,catches,receiving_yards,receiving_tds,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,touch_percentage,games_played,fantasy_points
Jhurell Pressley,ARI,62,286,4.6,0,1,172,55%,62,15,8,63,1,14,6,14,3,39,16,53%,5,50.9
Justin Stockton,ARI,24,153,6.4,1,0,76,24%,20,4,4,26,0,10,1,3,0,17,5,19%,5,25.9
Tim Cook,ARI,31,120,3.9,1,0,55,22%,8,3,2,11,1,6,5,6,5,6,2,31%,4,27.1
Akrum Wadley,ATL,7,21,3,0,0,46,40%,31,11,11,99,0,6,3,3,0,14,2,38%,2,23
Tarean Folston,ATL,34,156,4.6,1,0,102,39%,57,17,14,102,1,18,9,4,2,27,9,41%,4,51.8
Lawrence Pittman,ATL,19,81,4.3,0,0,43,17%,15,3,2,10,0,9,4,5,3,3,1,21%,4,9.1
Denard Robinson,ATL,18,47,2.6,1,0,88,32%,38,9,5,16,0,18,8,1,0,21,2,22%,4,17.3
Brandon Ratcliff,ATL,23,79,3.4,0,0,47,32%,17,4,3,16,0,8,5,2,1,4,2,37%,2,12.5
Trent Richardson,BIR,75,181,2.4,8,2,203,65%,102,27,19,142,0,27,21,19,14,36,13,67%,5,101.3
Ladarius Perkins,BIR,14,42,3,0,0,67,21%,47,16,14,66,0,7,4,1,0,22,8,20%,5,20.8
Brandon Ross,BIR,12,72,6,0,0,31,26%,17,2,2,32,1,2,0,0,0,6,1,28%,2,16.4
Ty Isaac,BIR,2,5,2.5,0,0,13,11%,8,4,3,13,0,0,0,1,0,3,2,9%,2,4.8
Zac Stacy,MEM,75,273,3.6,2,0,137,51%,41,11,9,74,0,18,15,11,6,28,8,58%,5,61.7
Terrence Magee,MEM,23,81,3.5,0,1,75,28%,26,6,6,36,1,9,6,7,4,22,5,19%,5,23.7
Sherman Badie,MEM,16,74,4.6,0,0,35,23%,14,4,3,87,0,1,1,1,0,9,1,22%,3,17.1
D’Ernest Johnson,ORL,43,251,5.9,1,0,109,39%,50,13,10,128,1,15,6,9,4,19,6,41%,5,57.9
De’Veon Smith,ORL,43,239,5.6,2,2,97,34%,35,7,3,18,0,12,9,9,4,22,12,36%,5,44.7
Akeem Hunt,ORL,22,113,5.1,1,0,68,30%,28,7,3,35,0,12,6,8,4,11,2,28%,4,23.8
Ryan Green,ORL ,3,17,5.7,0,0,8,13%,3,0,0,0,0,3,1,0,0,0,0,9%,1,1.7
Kenneth Farrow,SA,78,305,3.9,3,0,168,50%,55,6,5,66,0,42,23,18,11,42,12,54%,5,60.1
Aaron Green,SA,15,74,4.9,0,0,68,32%,34,8,6,43,0,10,2,3,0,11,3,24%,3,17.7
Trey Williams,SA,21,117,5.6,1,0,54,30%,22,5,4,27,0,11,4,3,1,11,4,29%,3,24.4
David Cobb,SA,20,60,3,0,0,48,17%,19,3,2,5,0,8,4,3,2,8,1,18%,4,8.5
Ja’Quan Gardner,SD,53,290,5.5,3,0,139,45%,55,12,10,74,0,7,4,1,1,17,6,53%,5,64.4
Terrell Watson,SD,45,189,4.2,0,3,136,44%,55,3,3,10,0,23,8,12,7,38,3,39%,5,28.9
Paul James,SD,1,0,0,0,0,22,19%,16,1,0,0,0,3,2,0,0,9,1,6%,2,1
Bishop Sankey,SD,5,11,2.2,0,0,15,22%,6,3,2,9,0,0,0,0,0,2,1,30%,1,4
Joel Bouagnon,SL,58,220,3.8,5,0,130,40%,38,5,4,18,0,24,13,11,9,29,13,41%,5,57.8
Branden Oliver,SL,54,210,3.9,1,1,109,45%,28,9,6,35,0,14,11,7,5,20,5,47%,4,38.5
Matt Asiata,SL,7,10,1.4,1,0,19,9%,8,3,0,0,0,6,4,4,2,5,1,11%,3,5
Terrell Newby,SL,12,21,1.8,0,1,68,26%,45,10,8,68,0,3,1,1,1,19,3,17%,4,16.9
