name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,drives_played,routes_ran,targets,catches,receiving_yards,receiving_tds,air_yards,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,passing_situation_snaps,short_yardage_snaps,short_yardage_touches,running_gamescript_snaps,running_gamescript_touches,touch_perceantage
Jhurell Pressley,ARI,8,20,2.5,0,0,38,54%,9,26,4,2,17,0,5,4,1,5,1,9,2,26,4,1,0,0,39%
Tim Cook,ARI,12,33,2.8,1,0,20,29%,6,4,2,1,7,0,7,4,3,4,3,1,1,1,7,7,0,0,45%
Justin Stockton,ARI,5,29,5.8,0,0,12,17%,5,3,0,0,0,0,0,0,0,0,0,5,2,4,1,1,0,0,16%
Ryan Green,ORL,3,17,5.7,0,0,8,13%,2,3,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,9%
De’Veon Smith,ORL,14,119,8.5,0,0,22,35%,5,6,2,0,0,0,0,3,3,0,0,6,3,3,4,2,1,1,47%
D’Ernest Johnson,ORL,9,49,5.4,0,0,32,52%,6,18,6,5,73,0,17,6,3,3,0,5,2,7,3,1,4,4,44%
Trent Richardson,BIR,8,21,2.6,1,0,35,58%,11,25,5,4,37,0,7,0,0,2,1,7,1,7,5,2,0,0,68%
Ladarius Perkins,BIR,0,0,0,0,0,13,22%,6,13,2,2,8,0,5,0,0,1,0,7,1,7,1,0,0,0,11%
Brandon Ross,BIR,3,8,2.7,0,0,12,20%,6,9,1,1,30,1,12,0,0,0,0,1,0,0,0,0,0,0,21%
Kenneth Farrow,SA,12,25,2.1,1,0,26,43%,5,10,1,1,43,0,0,9,5,6,3,6,2,3,8,6,0,0,45%
Trey Williams,SA,10,22,2.2,0,0,17,28%,5,4,1,1,8,0,1,6,3,3,1,3,0,1,2,1,3,2,38%
Aaron Green,SA,3,12,4,0,0,18,30%,2,7,2,2,5,0,1,3,0,0,0,3,0,7,1,1,0,0,17%
Joel Bouagnon,SL,11,36,3.3,2,0,45,57%,9,19,2,2,6,0,0,11,3,5,4,7,1,18,6,5,0,0,48%
Matt Asiata,SL,1,2,2,0,0,3,4%,2,2,2,0,0,0,10,0,0,0,0,1,1,1,0,0,0,0,4%
Terrell Newby,SL,6,2,0.3,0,0,30,38%,8,19,5,4,33,0,4,2,0,0,0,5,1,6,0,0,0,0,41%
Ja’Quan Gardner,SD,9,3,0.3,0,0,24,35%,9,12,3,3,16,0,0,0,0,0,0,3,0,3,0,0,0,0,44%
Terrell Watson,SD,5,14,2.8,0,0,28,41%,10,16,2,2,7,0,0,7,2,3,2,12,1,10,1,0,2,1,26%
Bishop Sankey ,SD,5,11,2.2,0,0,15,22%,8,6,3,2,9,0,6,0,0,0,0,2,1,1,2,0,1,1,30%
Zac Stacy,MEM,13,41,3.2,2,0,15,60%,8,9,2,2,45,0,0,4,4,3,3,6,0,8,2,2,0,0,60%
Sherman Badie,MEM,2,3,1.5,0,0,6,14%,2,1,1,1,56,0,0,0,0,1,0,2,1,2,1,0,0,0,12%
Terrence Magee,MEM,5,12,2.4,0,1,12,28%,5,2,2,2,22,0,3,2,1,3,2,2,1,3,3,2,0,0,28%
Denard Robinson,ATL,1,-6,-6,0,0,16,20%,7,6,3,1,9,0,29,0,0,0,0,3,0,5,0,0,0,0,9%
Tarean Folston,ATL,11,83,7.5,1,0,35,44%,7,18,6,6,23,1,12,10,7,4,2,9,4,11,4,4,0,0,50%
Brandon Ratcliff,ATL,11,31,2.8,0,0,28,35%,9,12,3,3,16,0,0,2,1,2,1,4,2,3,4,1,3,3,41%
